Australian Bureau of Statistics,,,,,,,,,,,,
#REF!,,,,,,,,,,,,
#REF!,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,SA2_MAINCODE_2011,SA2_NAME_2011,RATIO,PERCENTAGE,,,,,,,
0870,0870,702011046,East Side,0.2078703,20.7870328,,,,,,,
0870,0870,702011047,Flynn (NT),0.1789228,17.8922763,,,,,,,
0870,0870,702011048,Larapinta,0.2000869,20.0086887,,,,,,,
0870,0870,702011049,Mount Johns,0.1445364,14.4536427,,,,,,,
0870,0870,702011051,Ross,0.0914864,9.1486408,,,,,,,
0872,0872,406021138,APY Lands,0.1157318,11.5731833,,,,,,,
0872,0872,508031203,Leinster - Leonora,0.0626809,6.2680866,,,,,,,
0872,0872,508061219,East Pilbara,0.0200639,2.0063912,,,,,,,
0872,0872,702011050,Petermann - Simpson,0.1425133,14.2513265,,,,,,,
0872,0872,702011052,Sandover - Plenty,0.2453543,24.5354301,,,,,,,
0872,0872,702011053,Tanami,0.1927279,19.2727909,,,,,,,
0872,0872,702011054,Yuendumu - Anmatjere,0.136008,13.6008004,,,,,,,
0872,0872,702021055,Barkly,0.0849199,8.4919894,,,,,,,
0880,0880,702041063,East Arnhem,0.3305265,33.0526524,,,,,,,
0880,0880,702041064,Nhulunbuy,0.6694735,66.9473476,,,,,,,
0885,0885,702041062,Anindilyakwa,1.0,100.0,,,,,,,
0886,0886,702031057,Alligator,1.0,100.0,,,,,,,
0909,0909,701021013,Brinkin - Nakara,1.0,100.0,,,,,,,
2000,2000,117031337,Sydney - Haymarket - The Rocks,0.9999009,99.990085,,,,,,,
2006,2006,117031332,Newtown - Camperdown - Darlington,0.983656,98.3656025,,,,,,,
2006,2006,117031335,Redfern - Chippendale,0.016344,1.6343975,,,,,,,
2007,2007,117031334,Pyrmont - Ultimo,0.9998453,99.9845316,,,,,,,
2007,2007,117031335,Redfern - Chippendale,0.0001547,0.0154684,,,,,,,
2008,2008,117031332,Newtown - Camperdown - Darlington,0.3569159,35.6915882,,,,,,,
2008,2008,117031335,Redfern - Chippendale,0.6430841,64.3084118,,,,,,,
2009,2009,117031334,Pyrmont - Ultimo,1.0,100.0,,,,,,,
2010,2010,117031329,Darlinghurst,0.3952232,39.522317,,,,,,,
2010,2010,117031333,Potts Point - Woolloomooloo,0.0019449,0.1944874,,,,,,,
2010,2010,117031336,Surry Hills,0.602832,60.2831956,,,,,,,
2011,2011,117031333,Potts Point - Woolloomooloo,1.0,99.9999979,,,,,,,
2015,2015,117031330,Erskineville - Alexandria,0.8343889,83.4388881,,,,,,,
2015,2015,117031332,Newtown - Camperdown - Darlington,0.0042849,0.4284851,,,,,,,
2015,2015,117031335,Redfern - Chippendale,0.055141,5.514104,,,,,,,
2015,2015,117031338,Waterloo - Beaconsfield,0.1061852,10.6185229,,,,,,,
2016,2016,117031335,Redfern - Chippendale,1.0,100.0,,,,,,,
2017,2017,117031338,Waterloo - Beaconsfield,1.0,100.0,,,,,,,
2018,2018,117011322,Mascot - Eastlakes,0.6298111,62.9811064,,,,,,,
2018,2018,117031338,Waterloo - Beaconsfield,0.3701889,37.0188936,,,,,,,
2019,2019,117011320,Banksmeadow,0.0014585,0.1458459,,,,,,,
2019,2019,117011321,Botany,0.9960475,99.6047486,,,,,,,
2019,2019,117011323,Pagewood - Hillsdale - Daceyville,0.002494,0.2494038,,,,,,,
2020,2020,117011322,Mascot - Eastlakes,0.9995081,99.9508066,,,,,,,
2020,2020,117011325,Sydney Airport,0.0004919,0.0491911,,,,,,,
2021,2021,118011343,Double Bay - Bellevue Hill,0.0046414,0.4641381,,,,,,,
2021,2021,118011345,Paddington - Moore Park,0.9939622,99.3962151,,,,,,,
2021,2021,118011347,Woollahra,0.0013959,0.1395902,,,,,,,
2022,2022,118011341,Bondi Junction - Waverly,1.0,100.0,,,,,,,
2023,2023,118011343,Double Bay - Bellevue Hill,1.0,100.0,,,,,,,
2024,2024,118011339,Bondi - Tamarama - Bronte,0.6107194,61.0719437,,,,,,,
2024,2024,118011341,Bondi Junction - Waverly,0.3892806,38.9280563,,,,,,,
2025,2025,118011343,Double Bay - Bellevue Hill,0.0046659,0.4665914,,,,,,,
2025,2025,118011347,Woollahra,0.9953341,99.5334086,,,,,,,
2026,2026,118011339,Bondi - Tamarama - Bronte,0.3662145,36.621447,,,,,,,
2026,2026,118011340,Bondi Beach - North Bondi,0.629775,62.977498,,,,,,,
2026,2026,118011341,Bondi Junction - Waverly,0.0015703,0.1570268,,,,,,,
2026,2026,118011344,Dover Heights,0.0024403,0.2440283,,,,,,,
2027,2027,118011343,Double Bay - Bellevue Hill,0.9746519,97.4651945,,,,,,,
2027,2027,118011347,Woollahra,0.0253481,2.5348055,,,,,,,
2028,2028,118011343,Double Bay - Bellevue Hill,1.0,100.0,,,,,,,
2029,2029,118011340,Bondi Beach - North Bondi,0.004124,0.4123974,,,,,,,
2029,2029,118011343,Double Bay - Bellevue Hill,0.1405214,14.0521413,,,,,,,
2029,2029,118011344,Dover Heights,0.3930497,39.3049729,,,,,,,
2029,2029,118011346,Rose Bay - Vaucluse - Watsons Bay,0.4623049,46.2304884,,,,,,,
2030,2030,118011344,Dover Heights,0.4762834,47.62834,,,,,,,
2030,2030,118011346,Rose Bay - Vaucluse - Watsons Bay,0.5237166,52.37166,,,,,,,
2031,2031,118021348,Coogee - Clovelly,0.1416093,14.1609324,,,,,,,
2031,2031,118021349,Kensington - Kingsford,0.0009158,0.0915771,,,,,,,
2031,2031,118021352,Randwick,0.8574749,85.7474905,,,,,,,
2032,2032,117011323,Pagewood - Hillsdale - Daceyville,0.075631,7.5631039,,,,,,,
2032,2032,118021349,Kensington - Kingsford,0.924369,92.4368954,,,,,,,
2033,2033,117031338,Waterloo - Beaconsfield,0.0015149,0.1514946,,,,,,,
2033,2033,118021349,Kensington - Kingsford,0.9984851,99.8485054,,,,,,,
2034,2034,118021348,Coogee - Clovelly,1.0,100.0,,,,,,,
2035,2035,117011323,Pagewood - Hillsdale - Daceyville,0.1094431,10.9443109,,,,,,,
2035,2035,118021349,Kensington - Kingsford,0.000355,0.0354985,,,,,,,
2035,2035,118021351,Maroubra,0.8902017,89.0201745,,,,,,,
2036,2036,117011323,Pagewood - Hillsdale - Daceyville,0.2145048,21.4504841,,,,,,,
2036,2036,118021350,Malabar - La Perouse - Chifley,0.7854576,78.5457632,,,,,,,
2037,2037,117031331,Glebe - Forest Lodge,1.0,100.0,,,,,,,
2038,2038,117031331,Glebe - Forest Lodge,0.0102462,1.0246205,,,,,,,
2038,2038,120021388,Leichhardt - Annandale,0.9896165,98.9616501,,,,,,,
2038,2038,120021389,Lilyfield - Rozelle,0.0001373,0.0137293,,,,,,,
2039,2039,120021387,Balmain,0.0075387,0.7538749,,,,,,,
2039,2039,120021389,Lilyfield - Rozelle,0.9924613,99.2461251,,,,,,,
2040,2040,120021388,Leichhardt - Annandale,0.7556129,75.561287,,,,,,,
2040,2040,120021389,Lilyfield - Rozelle,0.24432,24.4319971,,,,,,,
2041,2041,120021387,Balmain,1.0,100.0,,,,,,,
2042,2042,117021326,Marrickville,0.0006478,0.064783,,,,,,,
2042,2042,117021327,Petersham - Stanmore,0.1949389,19.4938937,,,,,,,
2042,2042,117031332,Newtown - Camperdown - Darlington,0.8044132,80.4413232,,,,,,,
2043,2043,117031330,Erskineville - Alexandria,0.9963524,99.6352363,,,,,,,
2043,2043,117031332,Newtown - Camperdown - Darlington,0.0036476,0.3647637,,,,,,,
2044,2044,117021326,Marrickville,0.0004103,0.0410291,,,,,,,
2044,2044,117021328,Sydenham - Tempe - St Peters,0.9907743,99.077433,,,,,,,
2044,2044,117031332,Newtown - Camperdown - Darlington,0.0088154,0.8815379,,,,,,,
2045,2045,120021388,Leichhardt - Annandale,0.0038315,0.3831495,,,,,,,
2045,2045,120031395,Haberfield - Summer Hill,0.9961123,99.6112298,,,,,,,
2046,2046,120011385,Drummoyne - Rodd Point,0.2417075,24.1707478,,,,,,,
2046,2046,120011386,Five Dock - Abbotsford,0.7582925,75.8292515,,,,,,,
2047,2047,120011385,Drummoyne - Rodd Point,1.0,100.0,,,,,,,
2048,2048,117021327,Petersham - Stanmore,0.9994772,99.9477154,,,,,,,
2048,2048,120021388,Leichhardt - Annandale,0.0005228,0.0522846,,,,,,,
2049,2049,117021326,Marrickville,0.0082092,0.8209191,,,,,,,
2049,2049,117021327,Petersham - Stanmore,0.7187551,71.8755068,,,,,,,
2049,2049,120031394,Dulwich Hill - Lewisham,0.2730357,27.3035742,,,,,,,
2050,2050,117021327,Petersham - Stanmore,0.0210066,2.1006586,,,,,,,
2050,2050,117031331,Glebe - Forest Lodge,0.3967541,39.6754072,,,,,,,
2050,2050,117031332,Newtown - Camperdown - Darlington,0.5822393,58.2239342,,,,,,,
2052,2052,118021349,Kensington - Kingsford,1.0,100.0,,,,,,,
2060,2060,121041414,Crows Nest - Waverton,0.2569284,25.6928357,,,,,,,
2060,2060,121041416,Neutral Bay - Kirribilli,0.1553008,15.53008,,,,,,,
2060,2060,121041417,North Sydney - Lavender Bay,0.5877708,58.7770842,,,,,,,
2061,2061,121041416,Neutral Bay - Kirribilli,0.6470337,64.7033741,,,,,,,
2061,2061,121041417,North Sydney - Lavender Bay,0.3529663,35.2966259,,,,,,,
2062,2062,121011401,St Leonards - Naremburn,0.0040745,0.407453,,,,,,,
2062,2062,121041413,Cremorne - Cammeray,0.759782,75.9781956,,,,,,,
2062,2062,121041414,Crows Nest - Waverton,0.2341059,23.410591,,,,,,,
2062,2062,121041416,Neutral Bay - Kirribilli,0.0020372,0.2037152,,,,,,,
2063,2063,121011402,Willoughby - Castle Cove - Northbridge,1.0,99.9999976,,,,,,,
2064,2064,121011398,Chatswood (East) - Artarmon,0.9981852,99.8185201,,,,,,,
2064,2064,121011401,St Leonards - Naremburn,0.0018148,0.1814799,,,,,,,
2065,2065,121011400,Lane Cove - Greenwich,0.2169773,21.6977264,,,,,,,
2065,2065,121011401,St Leonards - Naremburn,0.3431351,34.313509,,,,,,,
2065,2065,121041414,Crows Nest - Waverton,0.4385606,43.8560605,,,,,,,
2065,2065,121041417,North Sydney - Lavender Bay,0.001327,0.1327041,,,,,,,
2066,2066,121011399,Chatswood (West) - Lane Cove North,0.3386461,33.8646139,,,,,,,
2066,2066,121011400,Lane Cove - Greenwich,0.6613539,66.1353861,,,,,,,
2067,2067,121011398,Chatswood (East) - Artarmon,0.6017592,60.1759163,,,,,,,
2067,2067,121011399,Chatswood (West) - Lane Cove North,0.3915697,39.1569744,,,,,,,
2067,2067,121011402,Willoughby - Castle Cove - Northbridge,0.0066711,0.6671092,,,,,,,
2068,2068,121011398,Chatswood (East) - Artarmon,0.0223079,2.230789,,,,,,,
2068,2068,121011402,Willoughby - Castle Cove - Northbridge,0.9776921,97.769211,,,,,,,
2069,2069,121011398,Chatswood (East) - Artarmon,0.1407651,14.0765149,,,,,,,
2069,2069,121011402,Willoughby - Castle Cove - Northbridge,0.1896957,18.9695736,,,,,,,
2069,2069,121031408,Lindfield - Roseville,0.6695391,66.9539115,,,,,,,
2070,2070,121031407,Gordon - Killara,0.0150884,1.5088417,,,,,,,
2070,2070,121031408,Lindfield - Roseville,0.9849116,98.4911583,,,,,,,
2071,2071,121031407,Gordon - Killara,0.9927612,99.2761213,,,,,,,
2071,2071,121031408,Lindfield - Roseville,0.0072388,0.7238787,,,,,,,
2072,2072,121031407,Gordon - Killara,1.0,99.9999981,,,,,,,
2073,2073,121031409,Pymble,0.9986789,99.8678947,,,,,,,
2073,2073,121031411,Turramurra,0.0013211,0.1321053,,,,,,,
2074,2074,121031409,Pymble,0.0035336,0.3533578,,,,,,,
2074,2074,121031411,Turramurra,0.8575793,85.7579328,,,,,,,
2074,2074,121031412,Wahroonga - Warrawee,0.1388871,13.8887053,,,,,,,
2075,2075,121031410,St Ives,1.0,99.9999965,,,,,,,
2076,2076,121021405,Hornsby - Waitara,0.155455,15.545499,,,,,,,
2076,2076,121021406,Normanhurst - Thornleigh - Westleigh,0.2432987,24.3298706,,,,,,,
2076,2076,121031412,Wahroonga - Warrawee,0.6012463,60.1246304,,,,,,,
2077,2077,121021403,Asquith - Mount Colah,0.2594463,25.9446261,,,,,,,
2077,2077,121021405,Hornsby - Waitara,0.7405537,74.0553739,,,,,,,
2079,2079,121021403,Asquith - Mount Colah,1.0,100.0,,,,,,,
2080,2080,121021403,Asquith - Mount Colah,1.0,100.0,,,,,,,
2081,2081,121021404,Berowra - Brooklyn - Cowan,1.0,100.0,,,,,,,
2082,2082,115021298,Galston - Laughtondale,0.0327559,3.2755857,,,,,,,
2082,2082,121021404,Berowra - Brooklyn - Cowan,0.9672441,96.7244143,,,,,,,
2083,2083,102011030,Calga - Kulnura,0.3247561,32.475607,,,,,,,
2083,2083,121021404,Berowra - Brooklyn - Cowan,0.6752439,67.524393,,,,,,,
2084,2084,122021421,Bayview - Elanora Heights,0.0043358,0.4335843,,,,,,,
2084,2084,122031432,Terrey Hills - Duffys Forest,0.9956642,99.5664157,,,,,,,
2085,2085,122031428,Frenchs Forest - Belrose,0.9999844,99.9984442,,,,,,,
2086,2086,122031427,Forestville - Killarney Heights,0.0019231,0.1923132,,,,,,,
2086,2086,122031428,Frenchs Forest - Belrose,0.9956707,99.5670677,,,,,,,
2086,2086,122031430,Manly Vale - Allambie Heights,0.0024062,0.2406191,,,,,,,
2087,2087,122031427,Forestville - Killarney Heights,0.9987646,99.8764612,,,,,,,
2087,2087,122031428,Frenchs Forest - Belrose,0.0012354,0.1235385,,,,,,,
2088,2088,121041415,Mosman,1.0,100.0,,,,,,,
2089,2089,121041413,Cremorne - Cammeray,0.0101433,1.0143252,,,,,,,
2089,2089,121041416,Neutral Bay - Kirribilli,0.9898567,98.9856739,,,,,,,
2090,2090,121041413,Cremorne - Cammeray,0.9986077,99.8607726,,,,,,,
2090,2090,121041416,Neutral Bay - Kirribilli,0.0013923,0.1392274,,,,,,,
2092,2092,122011418,Balgowlah - Clontarf - Seaforth,1.0,100.0,,,,,,,
2093,2093,122011418,Balgowlah - Clontarf - Seaforth,0.5764629,57.6462913,,,,,,,
2093,2093,122031430,Manly Vale - Allambie Heights,0.4235231,42.3523067,,,,,,,
2094,2094,122011418,Balgowlah - Clontarf - Seaforth,0.0083807,0.8380747,,,,,,,
2094,2094,122011419,Manly - Fairlight,0.9916193,99.1619253,,,,,,,
2095,2095,122011419,Manly - Fairlight,1.0,100.0,,,,,,,
2096,2096,122031429,Freshwater - Brookvale,1.0,100.0,,,,,,,
2097,2097,122031431,Narrabeen - Collaroy,0.9999939,99.9993948,,,,,,,
2099,2099,122031424,Beacon Hill - Narraweena,0.1632674,16.3267439,,,,,,,
2099,2099,122031425,Cromer,0.192521,19.2521008,,,,,,,
2099,2099,122031426,Dee Why - North Curl Curl,0.6202448,62.0244786,,,,,,,
2099,2099,122031431,Narrabeen - Collaroy,0.0239667,2.3966714,,,,,,,
2100,2100,122031424,Beacon Hill - Narraweena,0.3585799,35.8579949,,,,,,,
2100,2100,122031425,Cromer,0.0075355,0.7535548,,,,,,,
2100,2100,122031426,Dee Why - North Curl Curl,0.0005339,0.053389,,,,,,,
2100,2100,122031428,Frenchs Forest - Belrose,0.0092115,0.9211506,,,,,,,
2100,2100,122031429,Freshwater - Brookvale,0.2808503,28.0850258,,,,,,,
2100,2100,122031430,Manly Vale - Allambie Heights,0.3432888,34.3288848,,,,,,,
2101,2101,122021421,Bayview - Elanora Heights,0.2759733,27.597331,,,,,,,
2101,2101,122021423,Warriewood - Mona Vale,0.309478,30.9478006,,,,,,,
2101,2101,122031431,Narrabeen - Collaroy,0.4126066,41.2606635,,,,,,,
2101,2101,122031432,Terrey Hills - Duffys Forest,0.001942,0.1942049,,,,,,,
2102,2102,122021423,Warriewood - Mona Vale,1.0,100.0,,,,,,,
2103,2103,122021422,Newport - Bilgola,0.0027988,0.2798832,,,,,,,
2103,2103,122021423,Warriewood - Mona Vale,0.9972011,99.7201095,,,,,,,
2104,2104,122021421,Bayview - Elanora Heights,1.0,100.0,,,,,,,
2105,2105,122021421,Bayview - Elanora Heights,1.0,100.0,,,,,,,
2106,2106,122021422,Newport - Bilgola,1.0,100.0,,,,,,,
2107,2107,122021420,Avalon - Palm Beach,0.7346775,73.4677465,,,,,,,
2107,2107,122021422,Newport - Bilgola,0.2653225,26.5322535,,,,,,,
2108,2108,122021420,Avalon - Palm Beach,0.9442661,94.4266095,,,,,,,
2108,2108,122021421,Bayview - Elanora Heights,0.0557339,5.5733905,,,,,,,
2109,2109,126021500,Macquarie Park - Marsfield,1.0,100.0,,,,,,,
2110,2110,126021498,Gladesville - Huntleys Point,0.0008996,0.0899631,,,,,,,
2110,2110,126021499,Hunters Hill - Woolwich,0.9991004,99.9100369,,,,,,,
2111,2111,126021498,Gladesville - Huntleys Point,0.9992036,99.9203632,,,,,,,
2111,2111,126021499,Hunters Hill - Woolwich,0.0007964,0.0796368,,,,,,,
2112,2112,126021497,Eastwood - Denistone,0.0763065,7.6306507,,,,,,,
2112,2112,126021500,Macquarie Park - Marsfield,0.0036354,0.3635357,,,,,,,
2112,2112,126021502,Ryde - Putney,0.9200581,92.0058119,,,,,,,
2113,2113,126021500,Macquarie Park - Marsfield,0.2621239,26.2123928,,,,,,,
2113,2113,126021501,North Ryde - East Ryde,0.6898035,68.9803527,,,,,,,
2113,2113,126021502,Ryde - Putney,0.0480725,4.8072544,,,,,,,
2114,2114,125021477,Ermington - Rydalmere,0.0007655,0.0765535,,,,,,,
2114,2114,126021497,Eastwood - Denistone,0.2087575,20.8757476,,,,,,,
2114,2114,126021503,West Ryde - Meadowbank,0.790477,79.0476989,,,,,,,
2115,2115,125021477,Ermington - Rydalmere,1.0,100.0,,,,,,,
2116,2116,125021477,Ermington - Rydalmere,1.0,100.0,,,,,,,
2117,2117,125021476,Carlingford,0.0009499,0.0949881,,,,,,,
2117,2117,125021477,Ermington - Rydalmere,0.1830828,18.3082819,,,,,,,
2117,2117,125021478,Oatlands - Dundas Valley,0.8159673,81.5967293,,,,,,,
2118,2118,125021476,Carlingford,0.9779868,97.7986768,,,,,,,
2118,2118,125021478,Oatlands - Dundas Valley,0.0220132,2.2013191,,,,,,,
2119,2119,125021476,Carlingford,0.2259116,22.5911554,,,,,,,
2119,2119,126011496,Pennant Hills - Cheltenham,0.7740256,77.4025565,,,,,,,
2120,2120,115011293,Cherrybrook,0.001056,0.1056041,,,,,,,
2120,2120,121021406,Normanhurst - Thornleigh - Westleigh,0.6215827,62.1582669,,,,,,,
2120,2120,126011496,Pennant Hills - Cheltenham,0.3773613,37.736129,,,,,,,
2121,2121,125021476,Carlingford,0.0394617,3.9461679,,,,,,,
2121,2121,126011495,Epping - North Epping,0.9517112,95.1711227,,,,,,,
2121,2121,126021497,Eastwood - Denistone,0.0088271,0.882706,,,,,,,
2122,2122,125021476,Carlingford,0.0019928,0.1992789,,,,,,,
2122,2122,126021497,Eastwood - Denistone,0.5722239,57.2223933,,,,,,,
2122,2122,126021500,Macquarie Park - Marsfield,0.4257833,42.5783279,,,,,,,
2123,2123,125041492,Parramatta - Rosehill,1.0,100.0,,,,,,,
2125,2125,115011296,West Pennant Hills,0.7671548,76.7154762,,,,,,,
2125,2125,126011496,Pennant Hills - Cheltenham,0.2328452,23.2845198,,,,,,,
2126,2126,115011293,Cherrybrook,0.9999827,99.9982692,,,,,,,
2127,2127,125011473,Homebush Bay - Silverwater,1.0,100.0,,,,,,,
2128,2128,125011473,Homebush Bay - Silverwater,0.9999999,99.9999937,,,,,,,
2129,2129,120031396,Homebush,1.0,100.0,,,,,,,
2130,2130,120031390,Ashfield,0.0513743,5.1374338,,,,,,,
2130,2130,120031394,Dulwich Hill - Lewisham,0.0003364,0.0336448,,,,,,,
2130,2130,120031395,Haberfield - Summer Hill,0.9482892,94.8289214,,,,,,,
2131,2131,120031390,Ashfield,0.9914982,99.1498192,,,,,,,
2131,2131,120031393,Croydon Park - Enfield,0.0081284,0.8128431,,,,,,,
2131,2131,120031395,Haberfield - Summer Hill,0.0003734,0.0373377,,,,,,,
2132,2132,120031391,Burwood - Croydon,0.798162,79.8161977,,,,,,,
2132,2132,120031393,Croydon Park - Enfield,0.201838,20.1837986,,,,,,,
2133,2133,120031393,Croydon Park - Enfield,0.9971907,99.7190663,,,,,,,
2133,2133,120031397,Strathfield,0.0028093,0.2809337,,,,,,,
2134,2134,120031391,Burwood - Croydon,1.0,99.9999992,,,,,,,
2135,2135,120011384,Concord West - North Strathfield,0.0001566,0.0156602,,,,,,,
2135,2135,120031391,Burwood - Croydon,0.0083145,0.8314521,,,,,,,
2135,2135,120031396,Homebush,0.0300626,3.0062639,,,,,,,
2135,2135,120031397,Strathfield,0.9614662,96.1466237,,,,,,,
2136,2136,119021362,Belmore - Belfield,0.0072831,0.7283132,,,,,,,
2136,2136,120031393,Croydon Park - Enfield,0.5234126,52.3412648,,,,,,,
2136,2136,120031397,Strathfield,0.4693042,46.930416,,,,,,,
2137,2137,120011383,Concord - Mortlake - Cabarita,0.8206114,82.06114,,,,,,,
2137,2137,120011384,Concord West - North Strathfield,0.1793886,17.9388591,,,,,,,
2138,2138,120011384,Concord West - North Strathfield,1.0,99.9999991,,,,,,,
2139,2139,120011384,Concord West - North Strathfield,1.0,100.0,,,,,,,
2140,2140,120031396,Homebush,0.9565381,95.6538105,,,,,,,
