"Taxation statistics 2021–22 Individuals: Taxable income, by state/territory1 and postcode, 2021–22 income year2",,,,,,,,
State/ Territory1,Postcode,"Individuals
no.","Taxable income or loss
no.","Taxable income or loss
$","Average taxable income or loss3
$","Median taxable income or loss3
$",Australian rank5 descending,Ranking by state5/ territory descending
NSW,2627,"3,399","3,371","217,656,707","64,036","48,557","1,183",295
NSW,2628,"1,267","1,253","71,713,085","56,601","44,959","1,794",429
NSW,2629,260,254,"14,082,845","54,165","40,461","1,996",474
NSW,2630,"5,268","5,205","332,200,162","63,060","51,670","1,264",311
NSW,2631,373,360,"19,598,101","52,542","42,844","2,132",508
NSW,2632,"1,135","1,122","67,862,445","59,791","48,345","1,514",366
NSW,2633,196,195,"9,612,679","49,044","38,691","2,350",553
NSW,2640,"24,555","24,328","1,648,387,690","67,130","53,064",967,247
NSW,2641,"9,295","9,214","490,330,072","52,752","47,725","2,116",503
NSW,2642,"3,404","3,333","206,420,429","60,641","50,175","1,441",353
NSW,2643,"1,790","1,771","93,669,165","52,329","46,655","2,143",511
NSW,2644,"1,450","1,416","97,685,616","67,369","48,705",943,242
NSW,2645,227,223,"12,860,352","56,654","46,942","1,788",428
NSW,2646,"4,017","3,966","224,504,042","55,888","47,077","1,851",445
NSW,2647,"1,490","1,464","77,723,568","52,163","44,020","2,156",514
NSW,2648,"1,318","1,263","60,297,335","45,749","40,517","2,477",580
NSW,2650,"36,990","36,656","2,447,890,183","66,177","54,252","1,027",258
NSW,2651,"1,437","1,424","84,744,024","58,973","54,991","1,583",380
NSW,2652,"3,063","2,976","185,606,100","60,596","51,041","1,447",354
NSW,2653,"1,444","1,420","84,204,294","58,313","48,354","1,631",394
NSW,2655,832,819,"46,176,230","55,500","49,267","1,888",450
NSW,2656,744,737,"43,664,282","58,689","50,544","1,604",386
NSW,2658,790,777,"42,255,217","53,488","45,938","2,061",487
NSW,2659,507,498,"28,784,971","56,775","46,349","1,778",425
NSW,2660,891,870,"50,582,848","56,771","48,531","1,779",426
NSW,2661,145,144,"11,602,667","80,018","87,491",429,136
NSW,2663,"2,649","2,606","153,314,299","57,876","49,321","1,675",406
NSW,2665,"1,201","1,151","65,897,799","54,869","43,652","1,948",461
NSW,2666,"3,215","3,149","175,266,724","54,515","44,217","1,979",466
NSW,2668,214,205,"12,073,079","56,416","43,270","1,809",433
NSW,2669,900,854,"44,289,463","49,211","43,044","2,341",551
NSW,2671,"2,359","2,319","149,003,024","63,164","49,618","1,252",305
NSW,2672,852,838,"52,781,176","61,950","50,113","1,343",327
NSW,2675,"1,023","1,000","55,279,486","54,037","47,688","2,007",476
NSW,2680,"16,817","16,611","992,021,194","58,989","51,341","1,578",379
NSW,2681,"1,109","1,093","63,139,201","56,933","51,590","1,761",421
NSW,2700,"2,758","2,699","150,709,727","54,645","47,876","1,970",463
NSW,2701,"1,545","1,519","95,045,683","61,518","51,001","1,373",336
NSW,2702,426,419,"28,214,810","66,232","52,454","1,022",256
NSW,2703,405,398,"21,288,944","52,565","45,278","2,130",506
NSW,2705,"6,192","6,086","338,771,315","54,711","49,518","1,964",462
NSW,2706,685,676,"39,082,250","57,054","53,252","1,750",419
NSW,2707,827,790,"39,044,963","47,213","44,968","2,434",574
NSW,2710,"5,880","5,764","310,023,328","52,725","45,539","2,121",504
NSW,2711,"1,872","1,838","103,313,313","55,189","49,319","1,926",457
NSW,2712,741,721,"40,182,485","54,227","42,632","1,993",473
NSW,2713,"1,571","1,535","77,610,492","49,402","42,037","2,333",550
NSW,2714,"1,637","1,604","87,129,825","53,225","42,777","2,082",493
NSW,2715,869,849,"46,516,317","53,529","47,213","2,054",483
NSW,2716,652,641,"38,152,108","58,516","45,843","1,615",388
NSW,2717,609,603,"30,623,101","50,284","40,717","2,284",542
NSW,2720,"4,676","4,633","298,548,474","63,847","51,849","1,198",298
NSW,2721,112,108,"4,329,883","38,660","36,260","2,604",615
NSW,2722,"1,929","1,903","112,813,614","58,483","45,578","1,619",390
NSW,2725,169,163,"11,347,789","67,147","50,726",965,245
NSW,2726,177,174,"10,854,119","61,323","42,883","1,392",343
NSW,2727,252,242,"17,768,577","70,510","48,142",772,204
NSW,2729,989,980,"60,638,659","61,313","47,878","1,393",344
NSW,2730,767,753,"39,954,624","52,092","44,521","2,164",516
NSW,2731,"4,344","4,289","275,862,896","63,504","48,733","1,227",302
NSW,2732,"1,088","1,053","54,162,384","49,782","40,269","2,314",548
NSW,2733,357,347,"17,023,954","47,686","45,449","2,420",573
NSW,2734,218,212,"15,774,335","72,359","45,091",684,183
NSW,2735,198,189,"8,635,223","43,612","42,308","2,544",596
NSW,2736,234,231,"12,250,474","52,352","44,929","2,141",510
NSW,2737,521,497,"28,656,492","55,003","42,536","1,940",459
NSW,2738,"1,328","1,308","88,657,136","66,760","53,632",988,250
NSW,2739,877,848,"53,358,865","60,842","46,939","1,426",351
NSW,2745,"19,556","19,397","1,535,045,609","78,495","62,538",473,145
NSW,2747,"30,812","30,473","1,973,559,624","64,052","56,725","1,181",294
NSW,2748,"1,235","1,227","137,801,850","111,580","57,305",116,56
NSW,2749,"10,034","9,925","678,290,706","67,599","57,019",932,237
NSW,2750,"28,627","28,354","1,878,578,416","65,623","56,417","1,071",272
NSW,2751,167,167,"11,484,287","68,768","59,313",866,221
NSW,2752,"3,865","3,826","267,686,672","69,259","61,845",840,213
NSW,2753,"10,395","10,299","688,581,055","66,242","52,694","1,019",254
NSW,2754,"4,328","4,299","286,041,707","66,091","54,726","1,036",260
NSW,2756,"21,526","21,316","1,479,343,382","68,724","55,194",868,222
NSW,2757,554,549,"37,197,331","67,143","51,237",966,246
NSW,2758,"5,664","5,613","407,274,522","71,906","54,255",703,187
NSW,2759,"15,914","15,760","1,004,892,520","63,145","56,872","1,254",307
NSW,2760,"20,436","20,159","1,166,040,266","57,058","52,709","1,749",418
NSW,2761,"20,763","20,540","1,278,108,545","61,557","55,623","1,369",333
NSW,2762,"14,400","14,213","1,114,797,371","77,416","68,164",505,153
NSW,2763,"20,181","19,966","1,397,873,425","69,267","59,977",838,212
NSW,2765,"30,741","30,385","2,384,246,513","77,559","65,820",499,151
NSW,2766,"9,578","9,449","557,580,582","58,215","52,475","1,637",398
NSW,2767,"13,601","13,420","816,858,203","60,059","53,318","1,490",361
NSW,2768,"16,909","16,722","1,333,160,554","78,843","65,214",459,143
NSW,2769,"9,519","9,417","858,146,310","90,151","76,993",281,99
NSW,2770,"30,171","29,483","1,524,339,181","50,523","45,845","2,264",535
NSW,2773,"3,783","3,747","324,942,324","85,895","62,524",333,113
NSW,2774,"7,769","7,710","605,177,368","77,896","61,485",489,149
NSW,2775,850,832,"53,135,111","62,512","45,620","1,300",321
NSW,2776,"2,457","2,434","168,799,056","68,701","57,561",869,223
NSW,2777,"10,584","10,488","752,467,694","71,095","57,911",738,197
NSW,2778,"1,562","1,547","101,990,887","65,295","53,115","1,091",277
NSW,2779,"2,930","2,893","182,694,244","62,353","52,942","1,317",324
NSW,2780,"7,633","7,522","469,424,939","61,499","44,833","1,376",338
NSW,2782,"3,581","3,541","242,014,089","67,583","46,418",933,238
NSW,2783,"1,623","1,602","96,562,893","59,497","48,699","1,540",369
NSW,2784,772,763,"48,184,194","62,415","47,573","1,307",322
NSW,2785,"2,739","2,705","167,878,392","61,292","43,903","1,394",345
NSW,2786,712,700,"41,823,088","58,740","40,573","1,599",385
NSW,2787,"2,586","2,550","155,067,151","59,964","50,709","1,502",364
NSW,2790,"7,943","7,848","488,611,837","61,515","48,799","1,374",337
NSW,2791,176,167,"9,729,910","55,284","47,154","1,914",454
NSW,2792,233,225,"15,755,812","67,622","51,818",929,236
NSW,2793,475,466,"29,973,167","63,101","42,494","1,259",310
NSW,2794,"5,762","5,664","304,863,548","52,909","45,135","2,103",500
NSW,2795,"25,850","25,554","1,661,172,331","64,262","53,283","1,162",288
NSW,2797,258,251,"14,522,103","56,287","49,062","1,821",438
NSW,2798,"1,330","1,301","102,499,149","77,067","55,156",516,155
NSW,2799,"2,479","2,438","153,192,944","61,796","53,497","1,353",329
NSW,2800,"27,825","27,521","1,948,002,356","70,009","55,765",797,206
NSW,2803,155,154,"8,897,991","57,406","46,111","1,726",413
NSW,2804,"1,496","1,447","77,360,708","51,712","42,767","2,197",521
NSW,2805,246,237,"12,619,616","51,299","46,229","2,219",526
NSW,2806,497,488,"31,003,413","62,381","44,407","1,314",323
NSW,2807,214,208,"9,346,444","43,675","38,823","2,541",595
NSW,2808,77,75,"3,814,186","49,535","39,886","2,324",549
NSW,2809,118,116,"6,666,292","56,494","46,536","1,803",432
NSW,2810,"1,698","1,664","88,629,468","52,196","43,535","2,154",513
NSW,2817,105,101,"4,329,343","41,232","35,181","2,582",607
NSW,2818,472,456,"25,320,699","53,646","50,057","2,039",480
NSW,2820,"3,385","3,283","172,020,980","50,819","44,004","2,250",532
NSW,2821,"2,647","2,584","149,233,400","56,378","47,480","1,812",435
NSW,2822,195,186,"8,904,692","45,665","40,378","2,481",582
NSW,2823,795,758,"44,990,059","56,591","48,031","1,796",430
NSW,2824,"1,257","1,218","82,540,341","65,665","50,666","1,069",270
NSW,2825,"1,352","1,307","79,762,205","58,996","49,567","1,577",378
NSW,2826,126,122,"7,804,093","61,937","53,662","1,344",328
NSW,2827,"1,990","1,915","100,236,265","50,370","44,461","2,279",539
NSW,2828,403,388,"18,358,633","45,555","39,847","2,484",584
NSW,2829,"1,678","1,605","111,122,678","66,223","44,428","1,023",257
NSW,2830,"26,521","26,190","1,692,660,220","63,823","54,042","1,199",299
NSW,2831,"1,221","1,136","62,618,496","51,285","42,824","2,221",527
NSW,2832,"1,282","1,196","64,614,702","50,401","43,203","2,275",538
NSW,2833,286,268,"17,011,432","59,481","50,399","1,541",370
NSW,2834,946,921,"42,221,251","44,631","35,715","2,509",589
NSW,2835,"2,105","2,072","152,126,578","72,269","59,253",689,184
NSW,2836,337,325,"20,594,448","61,111","47,911","1,405",347
NSW,2838,69,65,"3,504,646","50,792","48,797","2,251",533
NSW,2839,539,514,"30,141,181","55,921","48,963","1,850",444
NSW,2840,"1,380","1,349","86,532,478","62,705","52,940","1,290",317
NSW,2842,338,322,"14,539,491","43,016","33,106","2,558",600
NSW,2843,670,628,"32,476,295","48,472","38,149","2,384",562
NSW,2844,677,661,"37,765,542","55,784","44,447","1,859",448
NSW,2845,"1,089","1,078","70,280,420","64,537","54,352","1,143",286
NSW,2846,135,132,"8,095,554","59,967","46,807","1,500",363
NSW,2847,"1,189","1,171","71,760,723","60,354","50,028","1,470",357
NSW,2848,604,594,"29,559,607","48,940","37,689","2,355",555
NSW,2849,811,790,"43,382,437","53,493","39,382","2,060",486
NSW,2850,"10,943","10,779","725,348,948","66,284","50,109","1,014",253
NSW,2852,"1,994","1,944","114,403,793","57,374","44,826","1,731",414
NSW,2864,482,466,"34,630,122","71,847","51,389",705,188
NSW,2865,492,478,"29,583,576","60,129","54,953","1,481",360
NSW,2866,"1,765","1,730","107,706,645","61,024","49,710","1,414",349
NSW,2867,328,319,"17,469,424","53,260","44,381","2,077",491
NSW,2868,352,340,"13,390,996","38,043","40,098","2,608",618
NSW,2869,724,692,"32,208,977","44,488","37,825","2,518",591
NSW,2870,"6,647","6,562","422,021,248","63,490","51,042","1,228",303
NSW,2871,"5,116","5,001","301,945,379","59,020","50,177","1,575",377
NSW,2873,383,358,"15,928,117","41,588","38,696","2,580",606
NSW,2874,230,215,"10,233,493","44,493","35,986","2,517",590
NSW,2875,458,442,"22,997,824","50,214","37,597","2,285",543
NSW,2876,238,231,"9,144,277","38,421","35,086","2,605",616
NSW,2877,"1,957","1,874","104,073,376","53,180","45,144","2,085",494
NSW,2878,182,180,"14,422,073","79,242","53,437",446,140
NSW,2879,242,234,"15,483,112","63,980","51,182","1,188",296
NSW,2880,"9,117","9,015","570,048,215","62,526","51,977","1,299",320
NSW,2898,306,306,"17,886,048","58,451","49,638","1,622",392
NSW,2899,"1,242","1,230","67,413,152","54,278","46,723","1,992",472
NT ,800,"5,430","5,369","400,520,074","73,761","62,290",617,22
NT ,801,408,402,"37,326,624","91,487","67,876",267,5
NT ,804,81,79,"7,873,653","97,206","89,066",201,2
NT ,810,"22,405","22,221","1,685,071,629","75,210","64,580",569,19
NT ,811,157,156,"14,432,222","91,925","68,488",262,4
NT ,812,"11,116","11,028","774,370,881","69,663","62,488",812,30
NT ,814,80,80,"7,864,702","98,309","78,157",193,1
NT ,820,"13,865","13,772","1,194,003,468","86,116","69,758",330,7
NT ,821,271,270,"22,839,670","84,279","65,773",351,9
NT ,822,"7,214","7,087","381,296,804","52,855","39,596","2,109",38
NT ,828,"1,052","1,047","90,382,878","85,915","66,476",332,8
NT ,829,517,517,"36,854,963","71,286","71,029",727,26
NT ,830,"11,440","11,340","814,219,769","71,173","64,405",732,27
NT ,831,414,411,"37,168,146","89,778","82,903",284,6
NT ,832,"12,245","12,163","934,488,638","76,316","70,906",538,17
NT ,834,827,820,"65,314,150","78,977","70,072",454,11
NT ,835,"2,770","2,747","215,789,430","77,902","67,836",488,15
NT ,836,"5,252","5,204","410,014,795","78,068","68,618",484,13
NT ,837,443,438,"30,297,083","68,391","55,870",887,32
NT ,838,577,569,"42,322,864","73,350","64,427",637,24
NT ,839,571,565,"42,813,515","74,980","67,551",577,20
NT ,840,208,199,"10,986,589","52,820","42,269","2,111",39
NT ,841,386,380,"27,379,070","70,930","61,126",748,29
NT ,845,310,304,"18,955,725","61,148","48,539","1,402",37
NT ,846,204,196,"13,732,395","67,316","49,887",947,34
NT ,847,161,157,"8,131,124","50,504","38,130","2,265",41
NT ,850,"4,354","4,309","298,887,483","68,647","62,260",871,31
NT ,851,673,663,"53,726,295","79,831","67,268",432,10
NT ,852,"2,152","2,116","100,308,109","46,612","37,742","2,453",44
NT ,853,496,496,"38,864,604","78,356","80,505",477,12
NT ,854,450,441,"23,542,269","52,316","38,968","2,144",40
NT ,860,"1,356","1,346","90,002,672","66,374","62,548","1,009",35
NT ,861,115,113,"8,257,100","71,801","60,491",707,25
NT ,862,282,281,"14,060,919","49,861","48,546","2,307",42
NT ,870,"13,612","13,525","1,001,058,932","73,542","65,697",630,23
NT ,871,772,767,"58,416,979","75,670","66,687",552,18
NT ,872,"3,837","3,776","179,509,499","46,784","36,654","2,445",43
NT ,873,773,765,"54,928,486","71,059","61,525",739,28
NT ,874,194,192,"15,028,043","77,464","73,439",504,16
NT ,875,913,905,"62,146,222","68,068","60,246",899,33
NT ,880,"1,495","1,490","110,286,881","73,770","59,134",616,21
NT ,881,"1,263","1,257","98,565,595","78,041","66,489",485,14
NT ,885,590,584,"55,319,068","93,761","74,169",241,3
NT ,886,644,640,"42,445,272","65,909","57,735","1,050",36
QLD,4000,"15,199","14,917","1,268,961,898","83,490","49,753",364,41
QLD,4001,445,437,"34,392,459","77,286","41,698",509,64
QLD,4004,71,70,"7,306,657","102,911","42,770",166,14
QLD,4005,"12,508","12,379","1,614,634,012","129,088","73,000",61,5
QLD,4006,"19,238","19,011","1,566,681,908","81,437","60,520",402,48
QLD,4007,"11,075","10,958","1,459,193,886","131,756","68,299",53,4
QLD,4008,203,200,"14,022,914","69,078","62,921",847,115
QLD,4009,58,58,"5,730,121","98,795","70,583",189,17
QLD,4010,"2,709","2,691","207,335,862","76,536","62,475",530,72
QLD,4011,"10,695","10,572","1,246,628,316","116,562","67,412",91,8
QLD,4012,"15,919","15,777","1,288,437,448","80,937","64,204",413,52
QLD,4013,"3,423","3,393","266,228,240","77,776","60,099",491,62
QLD,4014,"8,713","8,639","672,072,419","77,134","64,778",514,65
QLD,4017,"23,090","22,876","1,597,214,840","69,173","57,804",843,114
QLD,4018,"8,410","8,308","510,793,275","60,736","53,410","1,429",213
QLD,4019,"12,001","11,861","748,507,278","62,370","51,463","1,316",193
QLD,4020,"15,841","15,649","1,111,381,613","70,159","52,155",789,104
QLD,4021,"5,191","5,132","280,212,450","53,980","47,232","2,017",309
QLD,4022,"3,909","3,859","211,115,872","54,008","48,036","2,013",307
QLD,4025,115,114,"6,498,144","56,506","50,278","1,802",272
QLD,4030,"12,608","12,513","1,124,023,907","89,152","63,928",293,32
QLD,4031,"9,425","9,355","790,626,902","83,886","66,811",358,39
QLD,4032,"11,838","11,718","773,620,835","65,351","54,503","1,088",150
QLD,4034,"29,157","28,889","1,929,859,519","66,189","55,369","1,025",137
QLD,4035,"18,184","18,018","1,499,113,355","82,441","62,688",384,43
QLD,4036,"4,334","4,295","265,034,056","61,152","54,746","1,400",208
QLD,4037,"5,190","5,156","395,231,860","76,153","63,335",545,75
QLD,4051,"19,330","19,195","1,990,594,432","102,980","68,434",165,13
QLD,4053,"30,508","30,250","2,303,556,717","75,507","62,802",560,79
QLD,4054,"8,660","8,598","593,312,933","68,512","59,071",881,120
QLD,4055,"14,092","13,973","1,090,704,588","77,399","65,156",506,63
QLD,4059,"8,827","8,716","722,936,145","81,901","55,017",389,45
QLD,4060,"8,799","8,742","961,858,471","109,315","71,341",131,11
QLD,4061,"11,049","10,937","986,600,795","89,293","64,767",291,31
QLD,4064,"8,887","8,806","990,602,575","111,466","68,317",118,9
QLD,4065,"6,511","6,447","805,590,430","123,728","78,513",73,7
QLD,4066,"12,925","12,774","1,175,119,062","90,918","59,268",272,27
QLD,4067,"6,961","6,819","541,899,302","77,848","39,312",490,61
QLD,4068,"17,064","16,821","1,711,284,265","100,286","57,100",182,16
QLD,4069,"23,000","22,736","2,561,740,147","111,380","67,073",119,10
QLD,4070,"7,570","7,477","595,595,282","78,678","62,448",463,59
QLD,4073,"5,831","5,765","500,540,251","85,841","65,187",334,36
QLD,4074,"15,484","15,324","1,144,988,100","73,947","58,884",607,83
QLD,4075,"16,007","15,847","1,416,399,620","88,486","64,886",303,34
QLD,4076,"2,961","2,929","167,726,386","56,645","51,062","1,789",269
QLD,4077,"19,084","18,784","956,800,677","50,136","45,228","2,289",349
QLD,4078,"15,815","15,606","950,865,227","60,124","53,209","1,482",219
QLD,4101,"24,091","23,736","1,964,847,355","81,559","56,494",397,47
QLD,4102,"7,858","7,747","516,888,762","65,779","51,610","1,060",145
QLD,4103,"10,253","10,140","741,279,281","72,299","57,062",687,91
QLD,4104,"4,847","4,796","453,033,655","93,467","60,662",246,22
QLD,4105,"9,135","9,048","739,884,577","80,994","61,831",410,51
QLD,4106,"1,044","1,025","60,764,215","58,203","51,228","1,638",242
QLD,4107,"4,334","4,285","300,955,140","69,441","59,577",830,112
QLD,4108,"4,177","4,110","231,434,501","55,407","46,918","1,897",289
QLD,4109,"24,954","24,488","1,374,725,986","55,090","41,796","1,931",295
QLD,4110,"10,721","10,574","633,004,337","59,043","52,632","1,571",236
QLD,4111,661,654,"37,599,333","56,883","48,230","1,766",264
QLD,4112,"5,122","5,024","319,611,214","62,400","47,500","1,309",191
QLD,4113,"19,045","18,696","1,093,144,007","57,398","46,105","1,728",259
QLD,4114,"14,027","13,740","611,446,567","43,591","40,532","2,545",406
QLD,4115,"12,670","12,508","761,222,336","60,081","51,935","1,488",222
QLD,4116,"17,164","16,857","1,012,330,969","58,980","47,817","1,581",237
QLD,4117,"1,499","1,473","86,485,967","57,696","51,336","1,695",251
QLD,4118,"19,353","19,103","1,100,553,126","56,867","51,299","1,770",265
QLD,4119,"4,251","4,198","263,394,039","61,960","50,587","1,342",196
QLD,4120,"7,314","7,245","561,984,020","76,837","61,066",522,68
QLD,4121,"16,609","16,470","1,492,891,548","89,884","67,494",283,30
QLD,4122,"29,130","28,781","1,944,760,692","66,761","54,511",987,131
QLD,4123,"14,425","14,212","994,765,561","68,961","54,712",856,116
QLD,4124,"14,893","14,689","934,455,234","62,745","54,818","1,288",188
QLD,4125,"8,551","8,420","468,542,445","54,794","49,605","1,955",296
QLD,4127,"15,913","15,711","964,072,819","60,584","51,258","1,448",216
QLD,4128,"10,708","10,580","705,888,324","65,922","57,225","1,048",141
QLD,4129,"4,357","4,313","258,245,207","59,271","53,628","1,558",232
QLD,4130,"5,748","5,697","450,401,918","78,358","59,865",476,60
QLD,4131,"6,462","6,329","325,864,313","50,428","46,523","2,271",346
QLD,4132,"14,458","14,192","698,138,034","48,287","46,263","2,391",362
QLD,4133,"13,509","13,311","727,278,559","53,837","50,190","2,023",311
QLD,4151,"12,759","12,655","1,158,291,039","90,782","65,854",274,28
QLD,4152,"31,149","30,858","2,671,086,091","85,752","64,110",336,37
QLD,4153,"2,934","2,908","225,837,219","76,972","61,162",518,67
QLD,4154,"7,093","7,028","676,769,336","95,414","71,231",222,20
QLD,4155,"1,071","1,066","173,114,887","161,639","66,130",26,1
QLD,4156,"2,319","2,298","233,943,222","100,881","62,350",177,15
QLD,4157,"12,252","12,145","788,958,302","64,394","55,488","1,150",160
QLD,4158,"2,316","2,292","153,207,444","66,152","55,492","1,031",139
QLD,4159,"9,114","9,038","647,976,222","71,097","57,533",737,99
QLD,4160,"12,406","12,305","950,316,461","76,601","56,553",525,70
QLD,4161,"10,063","9,949","616,064,396","61,221","54,773","1,396",207
QLD,4163,"9,926","9,825","829,668,267","83,585","53,426",362,40
QLD,4164,"11,999","11,905","852,353,174","71,035","57,898",744,101
QLD,4165,"24,282","24,054","1,623,831,841","66,874","55,725",979,129
QLD,4169,"11,824","11,660","1,072,443,058","90,701","60,635",275,29
QLD,4170,"18,586","18,434","1,780,717,318","95,810","70,130",216,19
QLD,4171,"11,517","11,386","1,528,077,237","132,680","76,477",52,3
QLD,4172,"3,407","3,380","276,781,726","81,239","65,569",405,49
QLD,4173,"5,393","5,348","367,552,921","68,154","59,799",892,123
QLD,4174,"1,994","1,977","138,473,427","69,445","61,562",829,111
QLD,4178,"16,472","16,288","1,189,828,241","72,233","58,974",691,93
QLD,4179,"12,476","12,371","1,000,303,033","80,178","61,939",427,54
QLD,4183,"1,339","1,324","74,293,799","55,485","39,868","1,891",287
QLD,4184,"3,672","3,565","158,358,332","43,126","32,445","2,555",409
QLD,4205,"3,026","2,978","154,316,268","50,997","46,546","2,238",339
QLD,4207,"40,428","39,818","2,278,703,124","56,364","50,416","1,816",274
QLD,4208,"15,213","15,058","1,003,828,701","65,985","55,827","1,041",140
QLD,4209,"47,053","46,368","2,856,525,889","60,709","51,352","1,433",214
QLD,4210,"14,592","14,419","960,969,398","65,856","53,980","1,052",142
QLD,4211,"39,214","38,767","2,395,666,132","61,092","50,239","1,406",210
QLD,4212,"21,917","21,623","1,667,060,215","76,062","52,601",547,76
QLD,4213,"19,373","19,133","1,349,885,458","69,679","51,008",810,106
QLD,4214,"24,592","24,258","1,534,167,994","62,385","47,983","1,312",192
QLD,4215,"34,667","34,181","1,967,509,072","56,755","44,931","1,781",267
QLD,4216,"24,616","24,305","1,860,753,818","75,591","49,478",556,77
QLD,4217,"30,516","30,010","2,351,115,608","77,045","46,545",517,66
QLD,4218,"24,754","24,441","3,105,612,411","125,459","52,009",68,6
QLD,4219,161,159,"10,326,855","64,142","46,907","1,175",164
QLD,4220,"21,577","21,343","1,566,844,732","72,616","53,317",674,89
QLD,4221,"18,659","18,475","1,348,951,282","72,295","51,221",688,92
QLD,4223,"9,652","9,560","692,143,511","71,710","50,117",711,95
QLD,4224,"4,698","4,654","321,672,490","68,470","52,522",885,122
QLD,4225,"6,010","5,949","404,627,640","67,326","46,449",946,127
QLD,4226,"23,544","23,226","1,489,092,103","63,247","49,817","1,249",178
QLD,4227,"14,853","14,673","948,757,966","63,877","51,183","1,197",169
QLD,4228,"3,605","3,564","291,688,991","80,912","50,605",415,53
QLD,4230,117,116,"8,141,325","69,584","50,640",819,109
QLD,4270,"2,692","2,657","177,254,830","65,845","53,065","1,054",143
QLD,4271,346,340,"21,895,238","63,281","47,354","1,247",177
QLD,4272,"4,530","4,453","275,720,453","60,865","44,281","1,424",212
QLD,4275,"2,532","2,472","151,591,440","59,870","49,039","1,508",227
QLD,4280,"13,348","13,143","818,711,851","61,336","54,345","1,389",206
QLD,4285,"12,549","12,331","745,971,844","59,445","49,424","1,544",230
QLD,4287,374,358,"17,454,684","46,670","41,029","2,450",379
QLD,4300,"42,768","42,247","2,769,346,725","64,753","56,868","1,124",156
QLD,4301,"21,313","20,963","1,129,334,141","52,988","49,791","2,096",318
QLD,4303,"2,064","2,027","100,460,887","48,673","45,427","2,375",359
QLD,4304,"9,720","9,555","536,679,920","55,214","50,471","1,920",293
QLD,4305,"36,369","35,920","2,107,303,034","57,942","51,937","1,667",247
QLD,4306,"28,160","27,825","1,916,194,557","68,047","59,503",902,124
QLD,4307,"1,034","1,011","59,402,252","57,449","48,563","1,721",257
QLD,4309,"1,991","1,947","108,501,708","54,496","44,661","1,980",303
QLD,4310,"3,516","3,451","185,618,516","52,793","43,718","2,114",319
QLD,4311,"5,737","5,629","298,916,361","52,103","46,885","2,163",330
QLD,4312,"1,370","1,337","73,803,347","53,871","40,961","2,021",310
QLD,4313,"1,207","1,159","56,713,748","46,987","38,525","2,440",375
QLD,4314,"1,248","1,221","55,305,635","44,315","34,102","2,524",396
QLD,4340,"3,390","3,316","183,433,174","54,110","46,695","2,000",306
QLD,4341,"8,911","8,764","500,038,838","56,115","49,262","1,834",278
QLD,4342,"1,495","1,477","80,325,539","53,729","46,487","2,032",313
QLD,4343,"7,432","7,291","368,697,309","49,609","41,799","2,319",351
QLD,4344,"1,656","1,623","95,401,051","57,609","48,952","1,704",254
QLD,4346,650,643,"41,535,145","63,900","54,904","1,194",168
QLD,4347,888,865,"42,181,657","47,502","41,937","2,425",370
QLD,4350,"67,738","66,936","4,295,354,492","63,411","51,607","1,234",174
QLD,4352,"19,877","19,566","1,303,183,968","65,562","54,235","1,074",147
QLD,4353,292,280,"14,343,615","49,122","42,456","2,346",355
QLD,4354,694,672,"36,103,185","52,022","43,691","2,168",332
QLD,4355,"1,423","1,379","66,405,834","46,666","37,182","2,451",380
QLD,4356,"3,040","2,963","187,942,772","61,823","46,789","1,352",199
QLD,4357,"1,564","1,514","75,289,081","48,139","41,605","2,398",363
QLD,4358,"1,750","1,713","100,127,311","57,216","50,879","1,737",261
QLD,4359,808,769,"41,179,968","50,965","47,550","2,241",340
QLD,4360,432,407,"18,884,005","43,713","37,938","2,539",404
QLD,4361,"1,609","1,545","74,666,235","46,405","38,368","2,461",383
QLD,4362,"1,438","1,377","69,005,493","47,987","39,702","2,401",364
QLD,4363,436,416,"23,860,122","54,725","44,659","1,962",298
QLD,4364,186,178,"13,409,695","72,095","49,600",695,94
QLD,4365,256,248,"11,326,453","44,244","39,330","2,526",398
QLD,4370,"10,927","10,652","556,840,046","50,960","43,987","2,242",341
QLD,4371,435,408,"18,136,630","41,693","38,548","2,578",416
QLD,4372,91,86,"3,905,023","42,912","36,763","2,560",411
QLD,4373,588,568,"31,636,110","53,803","42,732","2,025",312
QLD,4374,277,262,"14,091,112","50,870","40,561","2,245",343
QLD,4375,111,104,"4,778,395","43,049","33,706","2,557",410
QLD,4376,193,192,"11,137,397","57,707","33,274","1,693",250
QLD,4377,359,351,"14,428,179","40,190","34,901","2,596",422
QLD,4378,270,265,"12,470,444","46,187","41,767","2,467",385
QLD,4380,"4,604","4,509","217,388,153","47,217","38,665","2,433",373
QLD,4381,317,313,"13,289,081","41,921","35,925","2,575",414
QLD,4382,303,293,"13,583,769","44,831","36,803","2,505",393
QLD,4383,284,279,"11,374,978","40,053","32,629","2,597",423
QLD,4385,619,586,"25,840,081","41,745","34,549","2,576",415
QLD,4387,705,689,"31,884,122","45,226","39,039","2,495",392
QLD,4388,223,210,"14,034,690","62,936","38,609","1,272",184
QLD,4390,"4,500","4,395","279,959,308","62,213","51,168","1,325",194
QLD,4400,"1,322","1,292","79,302,634","59,987","53,026","1,496",223
QLD,4401,"3,283","3,211","166,350,362","50,670","46,868","2,258",344
QLD,4402,154,149,"6,407,535","41,607","30,576","2,579",417
