claim_start_date,claim_status,condition_category,claim_id,tenure,exposure_id,claim_paid,total_claim_amount,,unique_ID,row_id,UW_Date,exposure_id,tenure,pet_gender,pet_de_sexed,pet_de_sexed_age,pet_is_switcher,nb_policy_first_inception_date,pet_age_months,nb_contribution,nb_excess,nb_address_type_adj,nb_suburb,nb_postcode,nb_state,person_dob,nb_contribution_excess,pet_age_years,owner_age_years,nb_number_of_breeds,nb_average_breed_size,nb_breed_type,nb_breed_trait,nb_breed_name_unique,nb_breed_name_unique_concat,is_multi_pet_plan,lead_date_day,quote_date,quote_time_group,exposure_id_1,row_num,earned_units,,check
16/6/2024 0:00,covered_paid,Other,claim_010d01bb-f078-47d7-82d4-c2c3acb98a53,4,exposure_905fd801-5869-46fc-927d-7a68e84c92aa,193.0909091,305.4545455,,4exposure_905fd801-5869-46fc-927d-7a68e84c92aa,22115,45444,exposure_905fd801-5869-46fc-927d-7a68e84c92aa,4,male,FALSE,0,0,45349.70833,44,90,100,House,Carlingford,2118,NSW,24233,90100,3 years,57,1,1,purebred,white fluffy,havanese,havanese,FALSE,0,45324.67243,Afternoon (12:00 - 17:59),exposure_905fd801-5869-46fc-927d-7a68e84c92aa,1,1,,
12/8/2024 0:00,covered_paid,Illness,claim_01156280-f05d-4e89-a2e6-2d2d24c117fd,2,exposure_eaf52305-1724-4bb9-b1cb-f9e733bc1fdb,71.92727273,170.8363636,,2exposure_eaf52305-1724-4bb9-b1cb-f9e733bc1fdb,33667,45505,exposure_eaf52305-1724-4bb9-b1cb-f9e733bc1fdb,2,male,TRUE,4-6 mo,TRUE,45453.70833,15,90,100,House,Palmyra,6157,WA,32549,90100,1 years,35,3,1.333333333,cross,cross,cross,"australian cattle dog cross, jack russell terrier cross, chihuahua cross",TRUE,0,45454.55944,Afternoon (12:00 - 17:59),exposure_eaf52305-1724-4bb9-b1cb-f9e733bc1fdb,1,1,,
6/1/2024 0:00,covered_paid,Eyes & ears,claim_011596b5-6a5b-453f-8e6d-28df2ae5e856,2,exposure_e726f411-cfb7-4fe8-9024-96487a8e4452,131.5727273,255.3818182,,2exposure_e726f411-cfb7-4fe8-9024-96487a8e4452,871,45292,exposure_e726f411-cfb7-4fe8-9024-96487a8e4452,2,female,FALSE,0,0,45252.70833,64,80,100,House,Abbotsford,3067,VIC,27836,80100,5 years,47,1,2,purebred,collie related,australian shepherd,australian shepherd,FALSE,0,45253.24216,Morning (05:00 - 11:59),exposure_e726f411-cfb7-4fe8-9024-96487a8e4452,1,1,,
1/7/2024 0:00,covered_paid,Ortho,claim_01183107-781a-40a4-adae-e0efd4326330,8,exposure_c7f3005f-312e-4df6-a721-0a7fb79eb5e7,76.1,95.12727273,,8exposure_c7f3005f-312e-4df6-a721-0a7fb79eb5e7,28770,45474,exposure_c7f3005f-312e-4df6-a721-0a7fb79eb5e7,8,female,FALSE,0,0,45245.70833,17,80,100,House,Maroubra,2035,NSW,32716,80100,1 years,34,1,2,purebred,teckel,cardigan welsh corgi,cardigan welsh corgi,TRUE,0,45231.25563,Morning (05:00 - 11:59),exposure_c7f3005f-312e-4df6-a721-0a7fb79eb5e7,1,1,,
5/7/2024 0:00,covered_with_exclusions_paid,Gastrointestinal Issues,claim_011e40df-1841-4456-b98b-87b3f7a070a4,2,exposure_1eb2b2e0-6887-4cb9-8054-a241e6b1c200,384.7,619.4636364,,2exposure_1eb2b2e0-6887-4cb9-8054-a241e6b1c200,29479,45474,exposure_1eb2b2e0-6887-4cb9-8054-a241e6b1c200,2,female,FALSE,0,FALSE,45436.70833,2,80,100,House,Daglish,6008,WA,34848,80100,0-6 months,29,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,45436.94944,Evening (18:00 - 23:59),exposure_1eb2b2e0-6887-4cb9-8054-a241e6b1c200,1,1,,
24/4/2024 0:00,covered_with_exclusions_paid,Gastrointestinal Issues,claim_01657cc7-9838-4b70-81db-c0d33d3f6707,5,exposure_3b753658-7470-4221-a631-69b7832865ab,144.3636364,203.0909091,,5exposure_3b753658-7470-4221-a631-69b7832865ab,12289,45383,exposure_3b753658-7470-4221-a631-69b7832865ab,5,male,FALSE,0,0,45233.70833,6,80,100,House,Casey,2913,ACT,34443,80100,0-6 months,29,1,3,purebred,retriever,labrador retriever,labrador retriever,FALSE,0,45234.87467,Evening (18:00 - 23:59),exposure_3b753658-7470-4221-a631-69b7832865ab,1,1,,
3/7/2024 0:00,covered_paid,Ortho,claim_016d2359-0a51-472e-87c0-2cb96dea8d4d,4,exposure_b6404e07-56c7-4d58-980c-3d5caa86567b,51.70909091,155.5454545,,4exposure_b6404e07-56c7-4d58-980c-3d5caa86567b,28367,45474,exposure_b6404e07-56c7-4d58-980c-3d5caa86567b,4,male,FALSE,0,0,45358.70833,14,80,100,House,Doolandella,4077,QLD,28340,80100,1 years,46,1,3,purebred,shepherd type,german shepherd,german shepherd,FALSE,0,45359.40857,Morning (05:00 - 11:59),exposure_b6404e07-56c7-4d58-980c-3d5caa86567b,1,1,,
19/6/2024 0:00,covered_paid,Injuries,claim_01715414-73e3-4976-a6d9-a2660ae10235,0,exposure_d73be127-6c5d-49ba-9b5b-cef9c68d3684,730.2454545,1003.718182,,0exposure_d73be127-6c5d-49ba-9b5b-cef9c68d3684,18717,45444,exposure_d73be127-6c5d-49ba-9b5b-cef9c68d3684,0,female,TRUE,1-2 yr,FALSE,45458.70833,40,80,100,House,Clyde North,3978,VIC,33270,80100,3 years,33,2,1.5,cross,cross,cross,"jack russell terrier cross, australian cattle dogred heeler",TRUE,0,45459.42633,Morning (05:00 - 11:59),exposure_d73be127-6c5d-49ba-9b5b-cef9c68d3684,1,0.5,,
2/8/2024 0:00,covered,Eyes & ears,claim_017ab2fe-37f9-4181-ad3d-397d124334a0,2,exposure_a0f3e32d-11d0-4574-964d-c51a0aa65461,0,149.1818182,,2exposure_a0f3e32d-11d0-4574-964d-c51a0aa65461,38014,45505,exposure_a0f3e32d-11d0-4574-964d-c51a0aa65461,2,male,FALSE,0,FALSE,45462.70833,5,90,200,House,Holbrook,2644,NSW,32513,90200,0-6 months,35,1,3,designerbreed,water dog,labradoodle,labradoodle,TRUE,0,45463.49005,Morning (05:00 - 11:59),exposure_a0f3e32d-11d0-4574-964d-c51a0aa65461,1,1,,
16/4/2024 0:00,covered_paid,Gastrointestinal Issues,claim_017b2902-7dd1-488e-bc89-6eab76e2b144,5,exposure_f07b4e85-64d5-468d-9608-c28a006f26be,338.0727273,375.6363636,,5exposure_f07b4e85-64d5-468d-9608-c28a006f26be,12000,45383,exposure_f07b4e85-64d5-468d-9608-c28a006f26be,5,female,FALSE,0,0,45236.70833,7,90,100,House,Mount Duneed,3217,VIC,31273,90100,7-12 months,38,1,1,purebred,brachycephalic,boston terrier,boston terrier,FALSE,0,45237.39496,Morning (05:00 - 11:59),exposure_f07b4e85-64d5-468d-9608-c28a006f26be,1,1,,
