Australian Bureau of Statistics,,,,,,,,,,,,
#REF!,,,,,,,,,,,,
#REF!,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,SA4_CODE_2011,SA4_NAME_2011,RATIO,PERCENTAGE,,,,,,,
2381,2381,105,Far West and Orana,0.0260014,2.6001381,,,,,,,
2381,2381,110,New England and North West,0.9739986,97.3998619,,,,,,,
2382,2382,110,New England and North West,1.0,100.0,,,,,,,
2386,2386,105,Far West and Orana,0.8132907,81.3290719,,,,,,,
2386,2386,110,New England and North West,0.1867093,18.6709281,,,,,,,
2387,2387,105,Far West and Orana,0.8594978,85.9497811,,,,,,,
2387,2387,110,New England and North West,0.1405022,14.0502189,,,,,,,
2388,2388,105,Far West and Orana,0.025439,2.5438998,,,,,,,
2388,2388,110,New England and North West,0.974561,97.4561002,,,,,,,
2390,2390,110,New England and North West,1.0,100.0,,,,,,,
2395,2395,105,Far West and Orana,1.0,100.0,,,,,,,
2396,2396,105,Far West and Orana,1.0,100.0,,,,,,,
2397,2397,110,New England and North West,1.0,100.0,,,,,,,
2398,2398,110,New England and North West,1.0,100.0,,,,,,,
2399,2399,110,New England and North West,1.0,100.0,,,,,,,
2400,2400,110,New England and North West,1.0,100.0,,,,,,,
2401,2401,110,New England and North West,1.0,100.0,,,,,,,
2402,2402,110,New England and North West,1.0,100.0,,,,,,,
2403,2403,110,New England and North West,1.0,100.0,,,,,,,
2404,2404,110,New England and North West,1.0,100.0,,,,,,,
2405,2405,110,New England and North West,1.0,100.0,,,,,,,
2406,2406,110,New England and North West,0.8412305,84.12305,,,,,,,
2406,2406,307,Darling Downs - Maranoa,0.1587695,15.87695,,,,,,,
2408,2408,110,New England and North West,1.0,100.0,,,,,,,
2409,2409,110,New England and North West,1.0,100.0,,,,,,,
2410,2410,110,New England and North West,1.0,100.0,,,,,,,
2411,2411,110,New England and North West,1.0,100.0,,,,,,,
2415,2415,108,Mid North Coast,0.9999999,99.9999927,,,,,,,
2420,2420,106,Hunter Valley exc Newcastle,0.9996136,99.9613555,,,,,,,
2420,2420,108,Mid North Coast,0.0003864,0.0386445,,,,,,,
2421,2421,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2422,2422,108,Mid North Coast,1.0,100.0,,,,,,,
2423,2423,108,Mid North Coast,1.0,100.0,,,,,,,
2424,2424,108,Mid North Coast,1.0,100.0,,,,,,,
2425,2425,108,Mid North Coast,1.0,100.0,,,,,,,
2426,2426,108,Mid North Coast,1.0,100.0,,,,,,,
2427,2427,108,Mid North Coast,1.0,100.0,,,,,,,
2428,2428,108,Mid North Coast,1.0,100.0,,,,,,,
2429,2429,108,Mid North Coast,1.0,100.0,,,,,,,
2430,2430,108,Mid North Coast,1.0,100.0,,,,,,,
2431,2431,108,Mid North Coast,1.0,100.0,,,,,,,
2439,2439,108,Mid North Coast,1.0,100.0,,,,,,,
2440,2440,108,Mid North Coast,0.9999999,99.9999906,,,,,,,
2441,2441,104,Coffs Harbour - Grafton,0.3763583,37.635834,,,,,,,
2441,2441,108,Mid North Coast,0.6236417,62.364166,,,,,,,
2443,2443,108,Mid North Coast,1.0,100.0,,,,,,,
2444,2444,108,Mid North Coast,1.0,100.0,,,,,,,
2445,2445,108,Mid North Coast,1.0,100.0,,,,,,,
2446,2446,108,Mid North Coast,1.0,100.0,,,,,,,
2447,2447,108,Mid North Coast,1.0,100.0,,,,,,,
2448,2448,104,Coffs Harbour - Grafton,0.0041205,0.4120522,,,,,,,
2448,2448,108,Mid North Coast,0.9958795,99.5879478,,,,,,,
2449,2449,104,Coffs Harbour - Grafton,0.000948,0.0948024,,,,,,,
2449,2449,108,Mid North Coast,0.999052,99.9051976,,,,,,,
2450,2450,104,Coffs Harbour - Grafton,1.0,100.0,,,,,,,
2452,2452,104,Coffs Harbour - Grafton,1.0,100.0,,,,,,,
2453,2453,104,Coffs Harbour - Grafton,0.951641,95.1641004,,,,,,,
2453,2453,110,New England and North West,0.048359,4.8358996,,,,,,,
2454,2454,104,Coffs Harbour - Grafton,1.0,100.0,,,,,,,
2455,2455,104,Coffs Harbour - Grafton,1.0,100.0,,,,,,,
2456,2456,104,Coffs Harbour - Grafton,1.0,100.0,,,,,,,
2460,2460,104,Coffs Harbour - Grafton,1.0,99.9999965,,,,,,,
2462,2462,104,Coffs Harbour - Grafton,1.0,100.0,,,,,,,
2463,2463,104,Coffs Harbour - Grafton,1.0,100.0,,,,,,,
2464,2464,104,Coffs Harbour - Grafton,1.0,100.0,,,,,,,
2465,2465,104,Coffs Harbour - Grafton,1.0,100.0,,,,,,,
2466,2466,104,Coffs Harbour - Grafton,1.0,100.0,,,,,,,
2469,2469,104,Coffs Harbour - Grafton,0.3021868,30.2186753,,,,,,,
2469,2469,110,New England and North West,0.1882473,18.8247312,,,,,,,
2469,2469,112,Richmond - Tweed,0.5095659,50.9565935,,,,,,,
2470,2470,112,Richmond - Tweed,1.0,100.0,,,,,,,
2471,2471,112,Richmond - Tweed,1.0,100.0,,,,,,,
2472,2472,112,Richmond - Tweed,0.9999994,99.999943,,,,,,,
2473,2473,112,Richmond - Tweed,1.0,100.0,,,,,,,
2474,2474,112,Richmond - Tweed,1.0,100.0,,,,,,,
2475,2475,110,New England and North West,0.9226742,92.2674208,,,,,,,
2475,2475,112,Richmond - Tweed,0.0773258,7.7325792,,,,,,,
2476,2476,110,New England and North West,0.3396206,33.9620635,,,,,,,
2476,2476,112,Richmond - Tweed,0.6603794,66.0379365,,,,,,,
2477,2477,112,Richmond - Tweed,1.0,100.0,,,,,,,
2478,2478,112,Richmond - Tweed,1.0,100.0,,,,,,,
2479,2479,112,Richmond - Tweed,1.0,100.0,,,,,,,
2480,2480,112,Richmond - Tweed,1.0,100.0,,,,,,,
2481,2481,112,Richmond - Tweed,1.0,100.0,,,,,,,
2482,2482,112,Richmond - Tweed,1.0,100.0,,,,,,,
2483,2483,112,Richmond - Tweed,1.0,100.0,,,,,,,
2484,2484,112,Richmond - Tweed,1.0,99.9999999,,,,,,,
2485,2485,112,Richmond - Tweed,1.0,99.9999993,,,,,,,
2486,2486,112,Richmond - Tweed,1.0,100.0,,,,,,,
2487,2487,112,Richmond - Tweed,1.0,100.0,,,,,,,
2488,2488,112,Richmond - Tweed,1.0,100.0,,,,,,,
2489,2489,112,Richmond - Tweed,1.0,100.0,,,,,,,
2490,2490,112,Richmond - Tweed,1.0,100.0,,,,,,,
2500,2500,107,Illawarra,1.0,100.0,,,,,,,
2502,2502,107,Illawarra,1.0,100.0,,,,,,,
2505,2505,107,Illawarra,1.0,100.0,,,,,,,
2506,2506,107,Illawarra,1.0,100.0,,,,,,,
2508,2508,107,Illawarra,1.0,100.0,,,,,,,
2515,2515,107,Illawarra,1.0,100.0,,,,,,,
2516,2516,107,Illawarra,1.0,100.0,,,,,,,
2517,2517,107,Illawarra,1.0,100.0,,,,,,,
2518,2518,107,Illawarra,1.0,100.0,,,,,,,
2519,2519,107,Illawarra,1.0,100.0,,,,,,,
2522,2522,107,Illawarra,1.0,100.0,,,,,,,
2525,2525,107,Illawarra,1.0,100.0,,,,,,,
2526,2526,107,Illawarra,1.0,100.0,,,,,,,
2527,2527,107,Illawarra,1.0,99.9999954,,,,,,,
2528,2528,107,Illawarra,1.0,100.0,,,,,,,
2529,2529,107,Illawarra,1.0,100.0,,,,,,,
2530,2530,107,Illawarra,1.0,100.0,,,,,,,
2533,2533,107,Illawarra,0.9998295,99.9829526,,,,,,,
2533,2533,114,Southern Highlands and Shoalhaven,0.0001705,0.0170474,,,,,,,
2534,2534,107,Illawarra,1.0,100.0,,,,,,,
2535,2535,107,Illawarra,0.0115046,1.1504565,,,,,,,
2535,2535,114,Southern Highlands and Shoalhaven,0.9884954,98.8495435,,,,,,,
2536,2536,101,Capital Region,0.9998028,99.9802786,,,,,,,
2536,2536,114,Southern Highlands and Shoalhaven,0.0001972,0.0197214,,,,,,,
2537,2537,101,Capital Region,1.0,100.0,,,,,,,
2538,2538,114,Southern Highlands and Shoalhaven,1.0,100.0,,,,,,,
2539,2539,101,Capital Region,0.0008983,0.0898265,,,,,,,
2539,2539,114,Southern Highlands and Shoalhaven,0.9991017,99.9101735,,,,,,,
2540,2540,114,Southern Highlands and Shoalhaven,0.991005,99.1005018,,,,,,,
2540,2540,901,Other Territories,0.008995,0.8994982,,,,,,,
2541,2541,114,Southern Highlands and Shoalhaven,1.0,100.0,,,,,,,
2545,2545,101,Capital Region,1.0,100.0,,,,,,,
2546,2546,101,Capital Region,1.0,100.0,,,,,,,
2548,2548,101,Capital Region,1.0,100.0,,,,,,,
2549,2549,101,Capital Region,1.0,100.0,,,,,,,
2550,2550,101,Capital Region,1.0,100.0,,,,,,,
2551,2551,101,Capital Region,1.0,100.0,,,,,,,
2555,2555,124,Sydney - Outer West and Blue Mountains,0.084338,8.4338003,,,,,,,
2555,2555,127,Sydney - South West,0.915662,91.5661997,,,,,,,
2556,2556,127,Sydney - South West,1.0,100.0,,,,,,,
2557,2557,127,Sydney - South West,1.0,100.0,,,,,,,
2558,2558,123,Sydney - Outer South West,1.0,100.0,,,,,,,
2559,2559,123,Sydney - Outer South West,1.0,100.0,,,,,,,
2560,2560,107,Illawarra,0.0001389,0.0138863,,,,,,,
2560,2560,123,Sydney - Outer South West,0.9998611,99.9861137,,,,,,,
2563,2563,123,Sydney - Outer South West,1.0,100.0,,,,,,,
2564,2564,123,Sydney - Outer South West,1.0,100.0,,,,,,,
2565,2565,123,Sydney - Outer South West,1.0,100.0,,,,,,,
2566,2566,123,Sydney - Outer South West,1.0,100.0,,,,,,,
2567,2567,123,Sydney - Outer South West,1.0,100.0,,,,,,,
2568,2568,123,Sydney - Outer South West,1.0,100.0,,,,,,,
2569,2569,123,Sydney - Outer South West,1.0,100.0,,,,,,,
2570,2570,123,Sydney - Outer South West,0.9573801,95.7380127,,,,,,,
2570,2570,127,Sydney - South West,0.0426198,4.2619833,,,,,,,
2571,2571,114,Southern Highlands and Shoalhaven,0.0336662,3.3666233,,,,,,,
2571,2571,123,Sydney - Outer South West,0.9663337,96.6333664,,,,,,,
2572,2572,123,Sydney - Outer South West,1.0,100.0,,,,,,,
2573,2573,123,Sydney - Outer South West,1.0,100.0,,,,,,,
2574,2574,123,Sydney - Outer South West,0.9999985,99.999852,,,,,,,
2575,2575,114,Southern Highlands and Shoalhaven,0.9999998,99.9999788,,,,,,,
2576,2576,114,Southern Highlands and Shoalhaven,1.0,100.0,,,,,,,
2577,2577,107,Illawarra,0.0001413,0.0141349,,,,,,,
2577,2577,114,Southern Highlands and Shoalhaven,0.9998587,99.9858651,,,,,,,
2578,2578,114,Southern Highlands and Shoalhaven,1.0,100.0,,,,,,,
2579,2579,101,Capital Region,0.5658275,56.582752,,,,,,,
2579,2579,114,Southern Highlands and Shoalhaven,0.4341725,43.417248,,,,,,,
2580,2580,101,Capital Region,0.9992643,99.9264256,,,,,,,
2580,2580,103,Central West,0.0007357,0.0735744,,,,,,,
2581,2581,101,Capital Region,1.0,100.0,,,,,,,
2582,2582,101,Capital Region,1.0,99.9999998,,,,,,,
2583,2583,101,Capital Region,0.9985281,99.8528101,,,,,,,
2583,2583,103,Central West,0.0014719,0.1471899,,,,,,,
2584,2584,101,Capital Region,1.0,100.0,,,,,,,
2585,2585,101,Capital Region,1.0,100.0,,,,,,,
2586,2586,101,Capital Region,1.0,100.0,,,,,,,
2587,2587,101,Capital Region,1.0,100.0,,,,,,,
2588,2588,113,Riverina,1.0,100.0,,,,,,,
2590,2590,113,Riverina,1.0,100.0,,,,,,,
2594,2594,101,Capital Region,0.9933073,99.3307284,,,,,,,
2594,2594,103,Central West,0.0045198,0.4519754,,,,,,,
2594,2594,113,Riverina,0.002173,0.2172962,,,,,,,
2600,2600,801,Australian Capital Territory,1.0,100.0,,,,,,,
2601,2601,801,Australian Capital Territory,1.0,100.0,,,,,,,
2602,2602,801,Australian Capital Territory,1.0,100.0,,,,,,,
2603,2603,801,Australian Capital Territory,1.0,100.0,,,,,,,
2604,2604,801,Australian Capital Territory,1.0,100.0,,,,,,,
2605,2605,801,Australian Capital Territory,1.0,100.0,,,,,,,
2606,2606,801,Australian Capital Territory,1.0,100.0,,,,,,,
2607,2607,801,Australian Capital Territory,1.0,100.0,,,,,,,
2609,2609,801,Australian Capital Territory,1.0,100.0,,,,,,,
2611,2611,101,Capital Region,0.0010005,0.1000494,,,,,,,
2611,2611,113,Riverina,0.0014356,0.1435566,,,,,,,
2611,2611,801,Australian Capital Territory,0.9975639,99.756394,,,,,,,
2612,2612,801,Australian Capital Territory,1.0,100.0,,,,,,,
2614,2614,801,Australian Capital Territory,1.0,100.0,,,,,,,
2615,2615,801,Australian Capital Territory,0.9999503,99.9950295,,,,,,,
2617,2617,801,Australian Capital Territory,1.0,100.0,,,,,,,
2618,2618,101,Capital Region,0.7589782,75.8978236,,,,,,,
2618,2618,801,Australian Capital Territory,0.2410218,24.1021764,,,,,,,
2619,2619,101,Capital Region,1.0,100.0,,,,,,,
2620,2620,101,Capital Region,0.9750251,97.5025148,,,,,,,
2620,2620,801,Australian Capital Territory,0.0249749,2.4974852,,,,,,,
2621,2621,101,Capital Region,1.0,100.0,,,,,,,
2622,2622,101,Capital Region,0.9949147,99.4914662,,,,,,,
2622,2622,114,Southern Highlands and Shoalhaven,0.0050853,0.5085338,,,,,,,
2623,2623,101,Capital Region,1.0,100.0,,,,,,,
2624,2624,113,Riverina,1.0,100.0,,,,,,,
2625,2625,101,Capital Region,1.0,100.0,,,,,,,
2626,2626,101,Capital Region,1.0,100.0,,,,,,,
2627,2627,101,Capital Region,0.9999998,99.9999764,,,,,,,
2628,2628,101,Capital Region,1.0,100.0,,,,,,,
2629,2629,101,Capital Region,0.9054266,90.5426625,,,,,,,
2629,2629,113,Riverina,0.0945734,9.4573375,,,,,,,
2630,2630,101,Capital Region,1.0,100.0,,,,,,,
2631,2631,101,Capital Region,1.0,100.0,,,,,,,
2632,2632,101,Capital Region,1.0,100.0,,,,,,,
2633,2633,101,Capital Region,0.9999999,99.9999945,,,,,,,
2640,2640,109,Murray,0.9990335,99.9033478,,,,,,,
2640,2640,113,Riverina,0.0007857,0.0785697,,,,,,,
2640,2640,204,Hume,0.0001808,0.0180825,,,,,,,
2641,2641,109,Murray,1.0,100.0,,,,,,,
2642,2642,109,Murray,0.7735997,77.3599689,,,,,,,
2642,2642,113,Riverina,0.2258418,22.5841801,,,,,,,
2642,2642,204,Hume,0.0005585,0.055851,,,,,,,
2643,2643,109,Murray,1.0,100.0,,,,,,,
2644,2644,109,Murray,0.998178,99.8178006,,,,,,,
2644,2644,113,Riverina,0.001822,0.1821962,,,,,,,
2645,2645,109,Murray,0.9611426,96.1142637,,,,,,,
2645,2645,113,Riverina,0.0388574,3.8857363,,,,,,,
2646,2646,109,Murray,1.0,100.0,,,,,,,
2647,2647,109,Murray,1.0,100.0,,,,,,,
2648,2648,105,Far West and Orana,0.0037395,0.3739543,,,,,,,
2648,2648,109,Murray,0.9962605,99.6260457,,,,,,,
2649,2649,113,Riverina,1.0,100.0,,,,,,,
2650,2650,109,Murray,0.0023265,0.2326513,,,,,,,
2650,2650,113,Riverina,0.9976735,99.7673487,,,,,,,
2651,2651,113,Riverina,1.0,100.0,,,,,,,
2652,2652,113,Riverina,1.0,100.0,,,,,,,
2653,2653,113,Riverina,1.0,100.0,,,,,,,
2655,2655,113,Riverina,1.0,100.0,,,,,,,
2656,2656,113,Riverina,1.0,100.0,,,,,,,
2658,2658,109,Murray,0.8252365,82.5236453,,,,,,,
2658,2658,113,Riverina,0.1747635,17.4763547,,,,,,,
2659,2659,109,Murray,1.0,100.0,,,,,,,
2660,2660,109,Murray,1.0,100.0,,,,,,,
2661,2661,113,Riverina,1.0,100.0,,,,,,,
2663,2663,113,Riverina,1.0,100.0,,,,,,,
2665,2665,103,Central West,0.1402037,14.0203669,,,,,,,
2665,2665,113,Riverina,0.8597963,85.9796331,,,,,,,
2666,2666,101,Capital Region,0.0047044,0.4704447,,,,,,,
2666,2666,103,Central West,0.000941,0.094104,,,,,,,
2666,2666,113,Riverina,0.9943545,99.4354514,,,,,,,
2668,2668,103,Central West,0.9250062,92.5006189,,,,,,,
2668,2668,113,Riverina,0.0749938,7.4993811,,,,,,,
2669,2669,103,Central West,0.8611506,86.1150583,,,,,,,
2669,2669,113,Riverina,0.1388494,13.8849417,,,,,,,
2671,2671,103,Central West,1.0,100.0,,,,,,,
2672,2672,103,Central West,0.9330184,93.301841,,,,,,,
2672,2672,105,Far West and Orana,0.0669816,6.698159,,,,,,,
2675,2675,113,Riverina,1.0,100.0,,,,,,,
2678,2678,113,Riverina,1.0,100.0,,,,,,,
2680,2680,113,Riverina,1.0,100.0,,,,,,,
2681,2681,113,Riverina,1.0,100.0,,,,,,,
2700,2700,109,Murray,0.0021463,0.2146326,,,,,,,
2700,2700,113,Riverina,0.9978537,99.7853674,,,,,,,
2701,2701,113,Riverina,1.0,100.0,,,,,,,
2702,2702,113,Riverina,1.0,100.0,,,,,,,
2703,2703,113,Riverina,1.0,100.0,,,,,,,
2705,2705,113,Riverina,1.0,100.0,,,,,,,
2706,2706,113,Riverina,1.0,100.0,,,,,,,
2707,2707,109,Murray,0.004481,0.4480956,,,,,,,
2707,2707,113,Riverina,0.995519,99.5519044,,,,,,,
2710,2710,109,Murray,0.9999999,99.9999898,,,,,,,
2711,2711,109,Murray,0.9297725,92.9772474,,,,,,,
2711,2711,113,Riverina,0.0702275,7.0227526,,,,,,,
2712,2712,109,Murray,0.9999133,99.9913286,,,,,,,
2713,2713,109,Murray,1.0,100.0,,,,,,,
2714,2714,109,Murray,0.9996185,99.9618529,,,,,,,
2714,2714,216,Shepparton,0.0003815,0.0381471,,,,,,,
2715,2715,109,Murray,0.9998619,99.9861856,,,,,,,
2715,2715,215,North West,0.0001381,0.0138144,,,,,,,
2716,2716,109,Murray,0.9999972,99.999723,,,,,,,
2717,2717,109,Murray,1.0,100.0,,,,,,,
2720,2720,113,Riverina,1.0,100.0,,,,,,,
2721,2721,103,Central West,1.0,100.0,,,,,,,
2722,2722,113,Riverina,1.0,100.0,,,,,,,
2725,2725,113,Riverina,1.0,100.0,,,,,,,
2726,2726,101,Capital Region,1.0,100.0,,,,,,,
2727,2727,113,Riverina,1.0,100.0,,,,,,,
2729,2729,113,Riverina,1.0,100.0,,,,,,,
2730,2730,113,Riverina,1.0,100.0,,,,,,,
2731,2731,109,Murray,1.0,99.9999968,,,,,,,
2732,2732,109,Murray,0.997461,99.7460969,,,,,,,
2732,2732,215,North West,0.002539,0.2539031,,,,,,,
2733,2733,109,Murray,1.0,100.0,,,,,,,
2734,2734,109,Murray,0.9999998,99.9999758,,,,,,,
2735,2735,109,Murray,0.9092328,90.9232832,,,,,,,
2735,2735,215,North West,0.0907672,9.0767168,,,,,,,
2736,2736,109,Murray,1.0,100.0,,,,,,,
2737,2737,109,Murray,1.0,100.0,,,,,,,
2738,2738,109,Murray,0.999919,99.9919006,,,,,,,
2739,2739,109,Murray,1.0,100.0,,,,,,,
2745,2745,124,Sydney - Outer West and Blue Mountains,0.9863722,98.6372229,,,,,,,
2745,2745,127,Sydney - South West,0.0136278,1.3627771,,,,,,,
2747,2747,116,Sydney - Blacktown,0.0115888,1.1588765,,,,,,,
2747,2747,124,Sydney - Outer West and Blue Mountains,0.9884112,98.8411235,,,,,,,
2748,2748,124,Sydney - Outer West and Blue Mountains,1.0,100.0,,,,,,,
2749,2749,124,Sydney - Outer West and Blue Mountains,1.0,100.0,,,,,,,
2750,2750,124,Sydney - Outer West and Blue Mountains,1.0,100.0,,,,,,,
2752,2752,124,Sydney - Outer West and Blue Mountains,0.9999998,99.9999785,,,,,,,
2753,2753,115,Sydney - Baulkham Hills and Hawkesbury,0.1923273,19.2327348,,,,,,,
2753,2753,124,Sydney - Outer West and Blue Mountains,0.8076727,80.7672652,,,,,,,
2754,2754,115,Sydney - Baulkham Hills and Hawkesbury,0.1300132,13.0013174,,,,,,,
2754,2754,124,Sydney - Outer West and Blue Mountains,0.8699868,86.9986826,,,,,,,
2755,2755,124,Sydney - Outer West and Blue Mountains,1.0,100.0,,,,,,,
2756,2756,115,Sydney - Baulkham Hills and Hawkesbury,0.518924,51.8924013,,,,,,,
2756,2756,124,Sydney - Outer West and Blue Mountains,0.481076,48.1075987,,,,,,,
2757,2757,115,Sydney - Baulkham Hills and Hawkesbury,1.0,100.0,,,,,,,
2758,2758,115,Sydney - Baulkham Hills and Hawkesbury,0.9968217,99.68217,,,,,,,
2758,2758,124,Sydney - Outer West and Blue Mountains,0.0031783,0.31783,,,,,,,
2759,2759,124,Sydney - Outer West and Blue Mountains,1.0,100.0,,,,,,,
2760,2760,116,Sydney - Blacktown,0.0545439,5.4543915,,,,,,,
2760,2760,124,Sydney - Outer West and Blue Mountains,0.9454561,94.5456085,,,,,,,
2761,2761,116,Sydney - Blacktown,1.0,100.0,,,,,,,
2762,2762,116,Sydney - Blacktown,1.0,100.0,,,,,,,
2763,2763,116,Sydney - Blacktown,1.0,100.0,,,,,,,
2765,2765,115,Sydney - Baulkham Hills and Hawkesbury,0.3851223,38.5122299,,,,,,,
2765,2765,116,Sydney - Blacktown,0.498256,49.825596,,,,,,,
2765,2765,124,Sydney - Outer West and Blue Mountains,0.1166217,11.6621741,,,,,,,
2766,2766,116,Sydney - Blacktown,1.0,100.0,,,,,,,
2767,2767,116,Sydney - Blacktown,1.0,100.0,,,,,,,
2768,2768,116,Sydney - Blacktown,1.0,100.0,,,,,,,
2769,2769,116,Sydney - Blacktown,1.0,100.0,,,,,,,
2770,2770,116,Sydney - Blacktown,1.0,100.0,,,,,,,
2773,2773,124,Sydney - Outer West and Blue Mountains,1.0,100.0,,,,,,,
2774,2774,124,Sydney - Outer West and Blue Mountains,1.0,100.0,,,,,,,
2775,2775,102,Central Coast,0.311762,31.1761966,,,,,,,
2775,2775,115,Sydney - Baulkham Hills and Hawkesbury,0.688238,68.8238034,,,,,,,
2776,2776,124,Sydney - Outer West and Blue Mountains,1.0,100.0,,,,,,,
2777,2777,124,Sydney - Outer West and Blue Mountains,1.0,100.0,,,,,,,
2778,2778,124,Sydney - Outer West and Blue Mountains,1.0,100.0,,,,,,,
2779,2779,124,Sydney - Outer West and Blue Mountains,1.0,100.0,,,,,,,
2780,2780,124,Sydney - Outer West and Blue Mountains,1.0,100.0,,,,,,,
2782,2782,124,Sydney - Outer West and Blue Mountains,1.0,100.0,,,,,,,
2783,2783,124,Sydney - Outer West and Blue Mountains,1.0,100.0,,,,,,,
2784,2784,124,Sydney - Outer West and Blue Mountains,1.0,100.0,,,,,,,
2785,2785,103,Central West,0.0002311,0.0231133,,,,,,,
2785,2785,124,Sydney - Outer West and Blue Mountains,0.9997689,99.9768867,,,,,,,
2786,2786,103,Central West,0.0881609,8.8160917,,,,,,,
2786,2786,115,Sydney - Baulkham Hills and Hawkesbury,0.1391521,13.9152136,,,,,,,
2786,2786,124,Sydney - Outer West and Blue Mountains,0.7726869,77.2686948,,,,,,,
2787,2787,101,Capital Region,0.000469,0.0469026,,,,,,,
2787,2787,103,Central West,0.9875457,98.7545672,,,,,,,
2787,2787,124,Sydney - Outer West and Blue Mountains,0.0119853,1.1985302,,,,,,,
2790,2790,103,Central West,0.9998567,99.9856689,,,,,,,
2790,2790,124,Sydney - Outer West and Blue Mountains,0.0001433,0.0143311,,,,,,,
2791,2791,103,Central West,1.0,100.0,,,,,,,
2792,2792,103,Central West,1.0,100.0,,,,,,,
2793,2793,103,Central West,1.0,100.0,,,,,,,
2794,2794,101,Capital Region,0.0055272,0.5527231,,,,,,,
2794,2794,103,Central West,0.9944728,99.4472769,,,,,,,
2795,2795,103,Central West,1.0,100.0,,,,,,,
2797,2797,103,Central West,1.0,100.0,,,,,,,
2798,2798,103,Central West,1.0,100.0,,,,,,,
2799,2799,103,Central West,1.0,100.0,,,,,,,
2800,2800,103,Central West,1.0,100.0,,,,,,,
2803,2803,101,Capital Region,1.0,100.0,,,,,,,
2804,2804,103,Central West,1.0,100.0,,,,,,,
2805,2805,103,Central West,1.0,100.0,,,,,,,
2806,2806,103,Central West,1.0,100.0,,,,,,,
2807,2807,101,Capital Region,0.7119937,71.1993744,,,,,,,
2807,2807,103,Central West,0.2880063,28.8006256,,,,,,,
2808,2808,101,Capital Region,0.2208211,22.0821061,,,,,,,
2808,2808,103,Central West,0.7791789,77.9178939,,,,,,,
2809,2809,103,Central West,1.0,100.0,,,,,,,
2810,2810,103,Central West,1.0,100.0,,,,,,,
2820,2820,105,Far West and Orana,1.0,100.0,,,,,,,
2821,2821,105,Far West and Orana,1.0,100.0,,,,,,,
2823,2823,103,Central West,0.0021291,0.2129148,,,,,,,
2823,2823,105,Far West and Orana,0.9978709,99.7870852,,,,,,,
2824,2824,105,Far West and Orana,1.0,100.0,,,,,,,
2825,2825,103,Central West,0.0042114,0.4211373,,,,,,,
2825,2825,105,Far West and Orana,0.9957886,99.5788627,,,,,,,
2827,2827,105,Far West and Orana,1.0,100.0,,,,,,,
2828,2828,105,Far West and Orana,1.0,100.0,,,,,,,
2829,2829,105,Far West and Orana,1.0,100.0,,,,,,,
2830,2830,105,Far West and Orana,1.0,100.0,,,,,,,
2831,2831,105,Far West and Orana,1.0,100.0,,,,,,,
2832,2832,105,Far West and Orana,1.0,100.0,,,,,,,
2833,2833,105,Far West and Orana,0.947009,94.7008999,,,,,,,
2833,2833,110,New England and North West,0.052991,5.2991001,,,,,,,
2834,2834,105,Far West and Orana,1.0,100.0,,,,,,,
2835,2835,105,Far West and Orana,1.0,100.0,,,,,,,
2836,2836,105,Far West and Orana,1.0,100.0,,,,,,,
2839,2839,105,Far West and Orana,1.0,100.0,,,,,,,
2840,2840,105,Far West and Orana,1.0,100.0,,,,,,,
2842,2842,105,Far West and Orana,1.0,100.0,,,,,,,
2843,2843,105,Far West and Orana,1.0,100.0,,,,,,,
2844,2844,103,Central West,1.0,100.0,,,,,,,
2845,2845,103,Central West,1.0,100.0,,,,,,,
2846,2846,103,Central West,1.0,100.0,,,,,,,
2847,2847,103,Central West,1.0,100.0,,,,,,,
2848,2848,103,Central West,1.0,100.0,,,,,,,
2849,2849,103,Central West,1.0,100.0,,,,,,,
2850,2850,103,Central West,0.9986507,99.865071,,,,,,,
2850,2850,105,Far West and Orana,0.0006853,0.0685273,,,,,,,
2850,2850,106,Hunter Valley exc Newcastle,0.000664,0.0664017,,,,,,,
2852,2852,103,Central West,0.9965597,99.6559698,,,,,,,
2852,2852,105,Far West and Orana,0.0034403,0.3440302,,,,,,,
2864,2864,103,Central West,1.0,100.0,,,,,,,
2865,2865,103,Central West,1.0,100.0,,,,,,,
2866,2866,103,Central West,0.9232072,92.3207247,,,,,,,
2866,2866,105,Far West and Orana,0.0767928,7.6792753,,,,,,,
2867,2867,103,Central West,0.8947584,89.4758363,,,,,,,
2867,2867,105,Far West and Orana,0.1052416,10.5241637,,,,,,,
2868,2868,103,Central West,0.0396506,3.9650606,,,,,,,
2868,2868,105,Far West and Orana,0.9603494,96.0349394,,,,,,,
2869,2869,103,Central West,0.7786982,77.8698168,,,,,,,
2869,2869,105,Far West and Orana,0.2213018,22.1301832,,,,,,,
2870,2870,103,Central West,1.0,100.0,,,,,,,
2871,2871,103,Central West,1.0,100.0,,,,,,,
2873,2873,103,Central West,1.0,100.0,,,,,,,
2874,2874,103,Central West,1.0,100.0,,,,,,,
2875,2875,103,Central West,1.0,100.0,,,,,,,
2876,2876,103,Central West,1.0,100.0,,,,,,,
2877,2877,103,Central West,0.9327559,93.2755936,,,,,,,
2877,2877,105,Far West and Orana,0.0672441,6.7244064,,,,,,,
