Australian Bureau of Statistics,,,,,,,,,,,,
#REF!,,,,,,,,,,,,
#REF!,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,SA4_CODE_2011,SA4_NAME_2011,RATIO,PERCENTAGE,,,,,,,
2061,2061,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2062,2062,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2063,2063,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2064,2064,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2065,2065,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2066,2066,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2067,2067,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2068,2068,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2069,2069,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2070,2070,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2071,2071,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2072,2072,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2073,2073,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2074,2074,121,Sydney - North Sydney and Hornsby,1.0,99.9999995,,,,,,,
2075,2075,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2076,2076,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2077,2077,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2079,2079,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2080,2080,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2081,2081,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2082,2082,115,Sydney - Baulkham Hills and Hawkesbury,0.0327559,3.2755857,,,,,,,
2082,2082,121,Sydney - North Sydney and Hornsby,0.9672441,96.7244143,,,,,,,
2083,2083,102,Central Coast,0.3247561,32.475607,,,,,,,
2083,2083,121,Sydney - North Sydney and Hornsby,0.6752439,67.524393,,,,,,,
2084,2084,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2085,2085,122,Sydney - Northern Beaches,1.0,99.9999987,,,,,,,
2086,2086,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2087,2087,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2088,2088,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2089,2089,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2090,2090,121,Sydney - North Sydney and Hornsby,1.0,100.0,,,,,,,
2092,2092,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2093,2093,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2094,2094,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2095,2095,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2096,2096,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2097,2097,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2099,2099,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2100,2100,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2101,2101,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2102,2102,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2103,2103,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2104,2104,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2105,2105,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2106,2106,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2107,2107,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2108,2108,122,Sydney - Northern Beaches,1.0,100.0,,,,,,,
2109,2109,126,Sydney - Ryde,1.0,100.0,,,,,,,
2110,2110,126,Sydney - Ryde,1.0,100.0,,,,,,,
2111,2111,126,Sydney - Ryde,1.0,100.0,,,,,,,
2112,2112,126,Sydney - Ryde,1.0,100.0,,,,,,,
2113,2113,126,Sydney - Ryde,1.0,100.0,,,,,,,
2114,2114,125,Sydney - Parramatta,0.0007655,0.0765535,,,,,,,
2114,2114,126,Sydney - Ryde,0.9992345,99.9234465,,,,,,,
2115,2115,125,Sydney - Parramatta,1.0,100.0,,,,,,,
2116,2116,125,Sydney - Parramatta,1.0,100.0,,,,,,,
2117,2117,125,Sydney - Parramatta,1.0,100.0,,,,,,,
2118,2118,125,Sydney - Parramatta,1.0,99.9999959,,,,,,,
2119,2119,125,Sydney - Parramatta,0.2259116,22.5911554,,,,,,,
2119,2119,126,Sydney - Ryde,0.7740884,77.4088446,,,,,,,
2120,2120,115,Sydney - Baulkham Hills and Hawkesbury,0.001056,0.1056041,,,,,,,
2120,2120,121,Sydney - North Sydney and Hornsby,0.6215827,62.1582669,,,,,,,
2120,2120,126,Sydney - Ryde,0.3773613,37.736129,,,,,,,
2121,2121,125,Sydney - Parramatta,0.0394617,3.9461679,,,,,,,
2121,2121,126,Sydney - Ryde,0.9605383,96.0538321,,,,,,,
2122,2122,125,Sydney - Parramatta,0.0019928,0.1992789,,,,,,,
2122,2122,126,Sydney - Ryde,0.9980072,99.8007211,,,,,,,
2123,2123,125,Sydney - Parramatta,1.0,100.0,,,,,,,
2125,2125,115,Sydney - Baulkham Hills and Hawkesbury,0.7671548,76.7154802,,,,,,,
2125,2125,126,Sydney - Ryde,0.2328452,23.2845198,,,,,,,
2126,2126,115,Sydney - Baulkham Hills and Hawkesbury,1.0,99.9999986,,,,,,,
2127,2127,125,Sydney - Parramatta,1.0,100.0,,,,,,,
2128,2128,125,Sydney - Parramatta,1.0,100.0,,,,,,,
2129,2129,120,Sydney - Inner West,1.0,100.0,,,,,,,
2130,2130,120,Sydney - Inner West,1.0,100.0,,,,,,,
2131,2131,120,Sydney - Inner West,1.0,100.0,,,,,,,
2132,2132,120,Sydney - Inner West,1.0,100.0,,,,,,,
2133,2133,120,Sydney - Inner West,1.0,100.0,,,,,,,
2134,2134,120,Sydney - Inner West,1.0,100.0,,,,,,,
2135,2135,120,Sydney - Inner West,1.0,100.0,,,,,,,
2136,2136,119,Sydney - Inner South West,0.0072832,0.7283192,,,,,,,
2136,2136,120,Sydney - Inner West,0.9927168,99.2716808,,,,,,,
2137,2137,120,Sydney - Inner West,1.0,100.0,,,,,,,
2138,2138,120,Sydney - Inner West,1.0,100.0,,,,,,,
2139,2139,120,Sydney - Inner West,1.0,100.0,,,,,,,
2140,2140,120,Sydney - Inner West,1.0,100.0,,,,,,,
2141,2141,125,Sydney - Parramatta,1.0,100.0,,,,,,,
