Breed,AverageHipHealthScore,,
Poodle (Miniature),11,,
Poodle (Standard),9.9,,
Poodle (Toy),9.63,,
Portuguese Podengo (Large Smooth Haired),,,
Portuguese Podengo (Large Wire Haired),,,
Portuguese Podengo (Medium Smooth Haired),,,
Portuguese Podengo (Medium Wire Haired),,,
Portuguese Podengo (Small Smooth Haired),,,
Portuguese Podengo (Small Wire Haired),,,
Portuguese Water Dog,12.5,,
Pug,22.95,,
Puli,16,,
Pumi,18,,
Pyrenean Mastiff,,,
Pyrenean Mountain Dog,7.47,,
Pyrenean Sheepdog Longhaired,21,,
Rat Terrier*,15,,
Rhodesian Ridgeback,5,,
Rottweiler,8.53,,
Russian Black Terrier,16.57,,
Russian Toy,8,,
Saluki,1.67,,
Samoyed,11.21,,
Schipperke,,,
Schnauzer,9,,
Schnauzer (Giant),8.73,,
Schnauzer (Miniature),5.5,,
Scottish Terrier,1,,
Sealyham Terrier,,,
Shar Pei,9.83,,
Shetland Sheepdog,8.74,,
Shiba Inu,7.77,,
Shih Tzu,15.25,,
Shikoku,6.33,,
Siberian Husky,5.4,,
Skye Terrier,,,
Sloughi,,,
Smithfield*,1.8,,
Soft Coated Wheaten Terrier,7.72,,
Spanish Mastiff,,,
Spanish Water Dog*,9.31,,
Spoodle,7,,
Sporting Register,6.38,,
St Berdoodle*,2.33,,
St. Bernard,13.6,,
Stabijhoun*,11.31,,
Staffordshire Bull Terrier,13.11,,
Stumpy Tail Cattle Dog (Dev. Register),,,
Sussex Spaniel,5,,
Swedish Lapphund,,,
Swedish Vallhund,9.44,,
Tamaruke*,11.7,,
Tamascan*,11.57,,
Tatra Shepherd Dog,18,,
Tatra Sheppard*,4,,
Tenterfield Terrier,,,
Tibetan Mastiff,12.38,,
Tibetan Spaniel,8,,
Tibetan Terrier,13.6,,
Timber Dog*,9,,
Tornjak,37.67,,
Utonagan*,,,
Weimaraner,7.56,,
Weimaraner (Longhair),9.59,,
Welsh Corgi (Cardigan),2.6,,
Welsh Corgi (Pembroke),2.82,,
Welsh Springer Spaniel,14.28,,
Welsh Terrier,,,
West Highland White Terrier,8,,
Whippet,5.29,,
Whippet (Long Haired),,,
White German Shepherd Dog,1.83,,
White Shepherd,9,,
White Swiss Shepherd Dog,8.35,,
Wire Haired Slovakian Pointer*,,,
Working Sheepdog*,8.5,,
Xoloitzcuintle (Intermediate),7.5,,
Xoloitzcuintle (Miniature),12,,
Xoloitzcuintle (Standard),7,,
Yakutian Laika*,6.71,,
Yorkshire Terrier,,,
